source_document,source_path,page_number,mention_type,excerpt
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,14,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,15,RULE_DEFINITION,Life-Saving Rule Additional Guidance & References
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,15,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,16,RULE_DEFINITION,Life-Saving Rule Additional Guidance & References
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,16,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,17,RULE_DEFINITION,Life-Saving Rule Additional Guidance & References
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,17,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,18,RULE_DEFINITION,Life-Saving Rule Additional Guidance & References
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,18,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,19,GENERAL_DISCUSSION,3.4 Life-Saving Rules implementation resources
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,19,GENERAL_DISCUSSION,which the Life-Saving Rules icons and accompanying wording are made available.
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,19,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,20,GENERAL_DISCUSSION,of the Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,20,GENERAL_DISCUSSION,"In the process of revising the Life-Saving Rules, IOGP analysed the last ten years"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,20,GENERAL_DISCUSSION,"As the Life-Saving Rules are focused on actions within an individual’s control, fatal"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,20,GENERAL_DISCUSSION,Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,20,GENERAL_DISCUSSION,the Life-Saving Rules development process
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,20,GENERAL_DISCUSSION,aim of developing a smaller set of Life-Saving Rules (previously 18) that would
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,20,GENERAL_DISCUSSION,resulting set of 9 Life-Saving Rules addressed 330 (81%) of the 405 “personal
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,20,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,21,GENERAL_DISCUSSION,Figure 4: Potential lives saved by the revised IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,21,GENERAL_DISCUSSION,"When the Life-Saving Rules were developed, IOGP conducted a further review of"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,21,GENERAL_DISCUSSION,"For further information on the original Life-Saving Rules development process,"
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,21,GENERAL_DISCUSSION,• A follow-up report that looks at Causal Factor data for each Life-Saving Rule:
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,21,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,22,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,23,GENERAL_DISCUSSION,IOGP Life-Saving Rules
IOGP Life-Saving Rules.pdf,resources/safety-recommendation-engine/IOGP Life-Saving Rules.pdf,24,GENERAL_DISCUSSION,"revised IOGP Life-Saving Rules,"
Process Safety Fundamentals.pdf,resources/safety-recommendation-engine/Process Safety Fundamentals.pdf,5,GENERAL_DISCUSSION,"The PSFs do not replace any of the IOGP Life Saving Rules (LSRs): they are intended as additional,"
Process Safety Fundamentals.pdf,resources/safety-recommendation-engine/Process Safety Fundamentals.pdf,5,GENERAL_DISCUSSION,LSRs and not combined into a single list. The reason for this is that the LSRs are primarily focused
Process Safety Fundamentals.pdf,resources/safety-recommendation-engine/Process Safety Fundamentals.pdf,5,GENERAL_DISCUSSION,"LSRs and PSFs (e.g., Energy Isolation/We Maintain Safe Isolation and Hot Work/We Control Ignition"
Process Safety Fundamentals.pdf,resources/safety-recommendation-engine/Process Safety Fundamentals.pdf,5,GENERAL_DISCUSSION,demonstrates that the PSFs and the LSRs can be used effectively in a complementary way.
Process Safety Fundamentals.pdf,resources/safety-recommendation-engine/Process Safety Fundamentals.pdf,6,GENERAL_DISCUSSION,Table 1 - Life-Saving Rules and Process Safety Fundamentals.
Process Safety Fundamentals.pdf,resources/safety-recommendation-engine/Process Safety Fundamentals.pdf,6,GENERAL_DISCUSSION,Life-Saving Rules Process Safety Fundamentals
Safety performance indicators – 2023 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2023 data.pdf,9,GENERAL_DISCUSSION,• Reinforcing the importance of strict compliance with company policies and Driving - Life Saving Rule.
Safety performance indicators – 2023 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2023 data.pdf,13,GENERAL_DISCUSSION,"• Conduct refreshers/awareness on Line of Fire, Energy Isolation, and Work Authorization (Life-Saving Rules)."
Safety performance indicators – 2023 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2023 data.pdf,68,GENERAL_DISCUSSION,• LSR – Walking under Suspended load shall be complied with at all times.
Safety performance indicators – 2023 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2023 data.pdf,84,GENERAL_DISCUSSION,applicable Life-Saving Rules.
Safety performance indicators – 2023 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2023 data.pdf,91,GENERAL_DISCUSSION,stay at or return to previous work front without re-authorization of LSRs.
Safety performance indicators – 2024 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2024 data.pdf,18,GENERAL_DISCUSSION,• Implement LSR education. Clearly define and educate policies for resuming operations after an incident.
Safety performance indicators – 2024 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2024 data.pdf,35,GENERAL_DISCUSSION,• Perform the Life-Saving Rules modules with the members of the crews (chief of crew to go through the modules
Safety performance indicators – 2024 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2024 data.pdf,35,GENERAL_DISCUSSION,• Retraining on Life-Saving Rules.
Safety performance indicators – 2024 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2024 data.pdf,35,GENERAL_DISCUSSION,• Any violation of Life-Saving Rules automatically leads to the application of motivational management.
Safety performance indicators – 2024 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2024 data.pdf,37,GENERAL_DISCUSSION,• Life Saving Rules must be reviewed and fully complied with.
Safety performance indicators – 2024 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2024 data.pdf,54,RULE_DEFINITION,Always ensure the team are following Life Saving Rules with particular to line of fire and work authorizations.
Safety performance indicators – 2025 data.pdf,resources/safety-recommendation-engine/Safety performance indicators – 2025 data.pdf,28,GENERAL_DISCUSSION,in accordance with life-saving rules.
