record_id,narrative,ground_truth_lsrs,predicted_rules,rule_probabilities
OILPS_IOGP_SPI_0041,"An H2S alarm was received at a facility, and operations responded to investigate...",nan,None,"{""Bypassing Safety Controls"": 0.0, ""Confined Space"": 0.0, ""Driving"": 0.0, ""Energy Isolation"": 0.0003000000142492354, ""Hot Work"": 0.0, ""Line of Fire"": 0.0, ""Safe Mechanical Lifting"": 0.10199999809265137, ""Toxic Gas / Hazardous Substance"": 9.999999747378752e-05, ""Working at Height"": 0.0}"
OILPS_OSHA_01716,"An employee slipped while working on a blowout preventer, falling about 2 feet t...",Energy Isolation,Working at Height,"{""Bypassing Safety Controls"": 9.999999747378752e-05, ""Confined Space"": 0.0003000000142492354, ""Driving"": 0.00019999999494757503, ""Energy Isolation"": 0.04019999876618385, ""Hot Work"": 0.0013000000035390258, ""Line of Fire"": 0.000699999975040555, ""Safe Mechanical Lifting"": 0.0031999999191612005, ""Toxic Gas / Hazardous Substance"": 0.0008999999845400453, ""Working at Height"": 0.6259999871253967}"
OILPS_OSHA_03491,Employees were filling 55-gallon drums of finished lubricant from a cook kettle....,Energy Isolation,Energy Isolation,"{""Bypassing Safety Controls"": 0.005499999970197678, ""Confined Space"": 0.11580000072717667, ""Driving"": 0.00039999998989515007, ""Energy Isolation"": 0.9869999885559082, ""Hot Work"": 0.0617000013589859, ""Line of Fire"": 0.0007999999797903001, ""Safe Mechanical Lifting"": 0.0010000000474974513, ""Toxic Gas / Hazardous Substance"": 0.06759999692440033, ""Working at Height"": 0.11760000139474869}"
OILPS_IOGP_SPI_0033,Several gas-detection alarms were triggered at a remote manifold station during ...,nan,None,"{""Bypassing Safety Controls"": 0.0, ""Confined Space"": 0.0, ""Driving"": 0.0, ""Energy Isolation"": 0.0, ""Hot Work"": 0.0, ""Line of Fire"": 0.00019999999494757503, ""Safe Mechanical Lifting"": 0.0, ""Toxic Gas / Hazardous Substance"": 0.0, ""Working at Height"": 0.0}"
OILPS_OSHA_00394,An employee working in the maintenance garage was conducting an oil change on a ...,Driving,None,"{""Bypassing Safety Controls"": 9.999999747378752e-05, ""Confined Space"": 0.002400000113993883, ""Driving"": 9.999999747378752e-05, ""Energy Isolation"": 0.004999999888241291, ""Hot Work"": 0.04580000042915344, ""Line of Fire"": 0.0026000000070780516, ""Safe Mechanical Lifting"": 9.999999747378752e-05, ""Toxic Gas / Hazardous Substance"": 0.00019999999494757503, ""Working at Height"": 0.002199999988079071}"
OILPS_IOGP_SPI_0160,"During a commissioning pressure test on newly installed equipment, the system fa...",nan,Energy Isolation,"{""Bypassing Safety Controls"": 0.0, ""Confined Space"": 9.999999747378752e-05, ""Driving"": 0.0, ""Energy Isolation"": 0.887499988079071, ""Hot Work"": 0.0010000000474974513, ""Line of Fire"": 0.0, ""Safe Mechanical Lifting"": 0.0, ""Toxic Gas / Hazardous Substance"": 0.0, ""Working at Height"": 0.0}"
OILPS_OSHA_02481,An employee was driving an ATV when it ran over a fallen tree branch. The branch...,nan,None,"{""Bypassing Safety Controls"": 0.0, ""Confined Space"": 9.999999747378752e-05, ""Driving"": 9.999999747378752e-05, ""Energy Isolation"": 0.002199999988079071, ""Hot Work"": 9.999999747378752e-05, ""Line of Fire"": 0.0, ""Safe Mechanical Lifting"": 0.0010999999940395355, ""Toxic Gas / Hazardous Substance"": 0.0006000000284984708, ""Working at Height"": 0.0}"
OILPS_OSHA_02946,"An employee was putting a pipe in place and pushing on a rotating sucker rod, wh...",nan,Line of Fire,"{""Bypassing Safety Controls"": 0.000699999975040555, ""Confined Space"": 0.00019999999494757503, ""Driving"": 0.007499999832361937, ""Energy Isolation"": 0.00279999990016222, ""Hot Work"": 0.0017000000225380063, ""Line of Fire"": 0.44780001044273376, ""Safe Mechanical Lifting"": 0.006300000008195639, ""Toxic Gas / Hazardous Substance"": 0.0, ""Working at Height"": 0.0012000000569969416}"
OILPS_OSHA_01486,Employees were working at a steam/hot water-filled drain box and had removed the...,Driving,Driving,"{""Bypassing Safety Controls"": 0.0020000000949949026, ""Confined Space"": 0.010999999940395355, ""Driving"": 0.8759999871253967, ""Energy Isolation"": 0.04039999842643738, ""Hot Work"": 0.0012000000569969416, ""Line of Fire"": 0.00019999999494757503, ""Safe Mechanical Lifting"": 0.0003000000142492354, ""Toxic Gas / Hazardous Substance"": 0.004999999888241291, ""Working at Height"": 0.0006000000284984708}"
OILPS_IOGP_SPI_0135,A hole developed on the bottom side of the slop tank....,nan,None,"{""Bypassing Safety Controls"": 0.0, ""Confined Space"": 0.0, ""Driving"": 0.0, ""Energy Isolation"": 0.0, ""Hot Work"": 0.00039999998989515007, ""Line of Fire"": 0.0, ""Safe Mechanical Lifting"": 0.022199999541044235, ""Toxic Gas / Hazardous Substance"": 0.0, ""Working at Height"": 0.0010000000474974513}"
