record_id,source,narrative,primary_lsr,secondary_lsr,all_lsrs,label_count,lsr_label_provenance
OILPS_IOGP_SPI_0155,IOGP_SPI,"A fire incident occurred at the Central Tank Battery (CTB), with preliminary assessments indicating that the origin 
point was Lease Automatic Custody Transfer (LACT) unit Pump B. The ignition source remains undetermined at 
this time. The fire resulted in extensive damage to The LACT system, adjacent storage tanks, and MCC building. The 
estimated product involved with the incident is approximately 182 barrels of crude oil.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_SPI_0027,IOGP_SPI,"Gas Lift Line had a major leak due to external corrosion - MGI Header also had a minor leak as a result of being 
impacted from the leak of the Gas Lift Line.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00018,OSHA,"Employee slipped on ice and broke femur while working on well site in the vicinity of the Anderson 1-4-H location near Williston, North Dakota.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0082,IOGP_HPE,"A dropped object incident occurred while lowering an overdrive with the casing joint held stationary in the elevator. 
The mud saver (component of overdrive) contacted top of the liner joint in the rotary, causing failure at the 
connection to the mandrel. The mud saver (~40 kg) fell ~14 meters to the rig floor.
Two personnel were in the red zone at the time (required for the task).",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_02965,OSHA,An employee was replacing a drill rig's transfer case. The case shifted and amputated the tip of the employee's right index finger.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0082,IOGP_SPI,Failed gasket on 8” flange caused 145 bbl oil spill; majority recovered; no water impacted.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_04052,OSHA,"An employee was using a motorized saw to cut the top off a test barrel. His left glove got caught and pulled into the saw, resulting in amputation of the index fingertip. The employee was hospitalized.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02744,OSHA,"On February 17, 2021, an employee was completing rounds through a natural gas planet when he slipped and fell on an ice spot. He was hospitalized, having suffered a broken left hip.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0019,IOGP_HPE,"A crew member stepped out of a cherry picker while connecting a hydraulic hose to the Annular BOP, lost balance, 
and fell onto the cellar-pit grating. Subsequent hospital evaluation confirmed a left zygomatic bone fracture.",None,,None,0,SOURCE_GROUNDED
OILPS_IOGP_HPE_0020,IOGP_HPE,"2-7/8"" tubing was released from the lifting cap and hit the back of the right shoulder.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00868,OSHA,"An employee was waiting inside of his vehicle for the pipe to pull through and heard the equipment make an erratic sound. The employee stepped out of his vehicle to check on the pulling equipment. As he approached the cable pulling equipment, the cable released from its guide/pulley and whipped back and forth striking the employee and breaking an arm.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_04162,OSHA,An employee was preparing an oven for charging and cracked the seal of the jump lid to release pressure. Flames unexpectedly released from the oven and burned the employee's right ring and little fingers. The employee sustained second-degree burns.,Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03091,OSHA,"An employee was lifting a 100-pound exhaust manifold off an engine using a service truck crane. While he was maneuvering the manifold toward the bed of his truck, it struck his left index finger and caught it against a pressure relief valve. He suffered a laceration and fracture to the finger and was hospitalized.",Energy Isolation,Safe Mechanical Lifting,Energy Isolation; Safe Mechanical Lifting; Driving,3,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02967,OSHA,An employee tripped and twisted his ankle while stepping down from a machine. He suffered a displaced fracture to the right fibula and a sprained ligament in the right ankle.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03038,OSHA,"An employee was walking toward a pump on which he was installing a new suction manifold. He tripped over the old manifold, lying on the ground, and fell. He suffered a compound fracture to the left forearm and was hospitalized.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01559,OSHA,"An employee finished rigging and was walking in an area where a crew was loading an exchanger bundle on a trailer when the load shifted, pinning the employee between the active load and an adjacent stationary load. The employee suffered a fractured left femur and pelvis.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00994,OSHA,"While climbing a ladder to an acid gas/ammonia gas drum platform, an employee missed the second rung from the top of the ladder and fell approximately 7 feet. The employee suffered a fractured hip and lacerated elbow.",Working at Height,Toxic Gas / Hazardous Substance,Working at Height; Toxic Gas / Hazardous Substance,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0080,IOGP_HPE,"Following heavy rainfall, landslide occurred in the area behind the ten wagon-type cabins (accommodation, canteen, 
washing, changing, and rest facilities) located at the oil well site. A ground instability and multiple surface cracks 
were identified in the surrounding area.
Personnel were immediately informed of the hazardous ground conditions and instructed to remain vigilant and 
exercise caution.
As a preventive control measure, the wagon-type units were relocated to a safer area to eliminate the risk of impact 
from further ground movement.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03968,OSHA,An employee was working on the motor of a reclaimer that recycles drilling fluid when they received an electrical shock and burns.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_FATAL_0191,IOGP_FATAL,Worker died due to (allegedly) being hit by a surface test line while carrying out well surveillance work.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01181,OSHA,"An employee was attempting to replace a gasket in a valve on a separator trailer when he fell and struck a tire rim that was on the ground, breaking ribs and suffering spleen damage.",Confined Space,,Confined Space,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03624,OSHA,"An employee was moving a piece of an I-beam for welding when it rolled off the cribbing. The employee went to catch it when it fell and crushed the employee's finger, resulting in a partial amputation.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00502,OSHA,"An employee was helping an aerial access driver load multiple mobile light plants that were off-rent onto an aerial access trailer. The employee was bent down in a squat position, attempting to adjust the tongue of a mobile light tower, when the aerial access driver put his back against the rear light plant and shoved it forward. The employee's index finger was caught between the transport trailer deck and tongue of the mobile light tower, amputating the left index fingertip.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03148,OSHA,"An employee was stepping from a ladder to an elevated work platform, when they slipped and fell 22 feet to the ground. The employee sustained a fractured right leg that required hospitalization.",Working at Height,,Working at Height,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03413,OSHA,"On May 4, 2023, an employee was cutting a catwalk platform with a torch. When the pressure released, the platform fell back toward the employee and knocked him off his feet. The platform then landed on his leg, resulting in a fracture.",Energy Isolation,Hot Work,Energy Isolation; Hot Work,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00556,OSHA,An employee was repairing a flow pipe when he tripped and fell backward with the flow pipe on his body. He fractured his left ankle.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02102,OSHA,"An employee was tightening the packing bolts on a beam pumping unit in the oil field by using an air impact wrench when the head of the unit, while in a down stroke, came in contact with the impact wrench forcing it downward and mashing the tool against the left index finger. The employee sustained a partial amputation of the left index fingertip.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0043,IOGP_SPI,"An uncontrolled release to surface occurred at a thermal well pad, and incident management resources were 
activated to support response and stabilization. The investigation is ongoing.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_01500,OSHA,An employee slipped and fell on ice in the parking lot. He injured his knee and required surgery.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03723,OSHA,"An employee was performing abrasive blasting on two six-inch pipes. While rolling the pipe in the kneeling position, the blast nozzle engaged. They sustained an abrasion of the right inner thigh from the abrasive blasting media contacting them at 95 PSI.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02286,OSHA,"Employees were moving a pipeline inspection tool barrel. The injured employee was pulling on the rigging in order to allow a forklift to move the barrel through an open door. As the barrel was coming through the door, the rigging slipped off the fork and the barrel landed on the employee's foot. The employee's two left toes adjacent to his big toe were amputated.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01229,OSHA,"An employee fell while installing safety clamps. During the fall, the employee's left pinky finger was caught and partially amputated between a safety clamp and a pipe.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00637,OSHA,"On or about 7/6/16, at 17:45 hours, an employee had been working outside at several oilfield locations in high heat conditions when he began feeling ill and collapsed. He was hospitalized for heat exhaustion.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02385,OSHA,"An employee was exiting a truck when he lost his footing while descending the cab stairs. He fell to the ground and injured his left elbow, requiring hospitalization.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03152,OSHA,An employee was working on the rig floor when they began to experience dizziness and cramping in their legs and arms due to dehydration and heat stress. The employee was hospitalized.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03753,OSHA,"An employee was installing a safety cable on a flowline during a drilling operation. A forklift operator manipulated the boom to allow some slack in the strap to set the flowline box in the flowline trough. The employee had his hands on the strap to manipulate the box and set it down in the flowline trough. His left foot was forward while attempting to gain leverage when the flowline box shifted and struck his left foot and ankle area, resulting in a laceration to the top of his foot requiring hospitalization.",Energy Isolation,Safe Mechanical Lifting,Energy Isolation; Safe Mechanical Lifting,2,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00919,OSHA,An employee was transferring product from a top tote tank to the bottom tote tank when the leg of the top tote tank shifted causing the top tote tank to pinch the employee's right thumb between the top tote tank and the bottom tote tank spark arrestor. The employee suffered a partial amputation to his right thumb.,Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01741,OSHA,"An employee was standing on the ground observing pole line construction when he began showing signs of heat exhaustion, requiring hospitalization.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01267,OSHA,"Two employees were moving 40-foot long pipes (30 inches in diameter and weighing over 1,000 lbs.) on an elevated pipe rack into the pipe coating facility. While moving the last pipe, one employee's right hand was caught between a stationary pipe and the moving pipe, partially amputating his right ring fingertip and avulsing his right long fingernail with a nailbed laceration. He was hospitalized overnight.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01341,OSHA,"An employee was using an air hose to blow air through a waterline to a well when the hose came loose from the strap that secured it to the water pump. The end of the hose struck the employee's left shoulder area, fracturing his collarbone.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03850,OSHA,An employee was shocked while checking a breaker with a meter. The employee sustained a burn to their left middle finger.,Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01036,OSHA,"On June 5, 2017, an employee was rebuilding a bench cylinder when pressure began building in the cylinder and released. The cylinder then struck the employee in the abdomen and pushed the employee into a locker. The employee suffered internal bleeding and crushing injuries, requiring hospitalization.",Energy Isolation,,Energy Isolation,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00058,OSHA,"An employee welding a cable guide pipe to a tank containing road tar suffered burns to his right side legs, arm, neck, and face when the contents of the tank caught on fire.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_HPE_0065,IOGP_HPE,"The rig crew were in the process of nipple down the bell nipple mandrel. While positioning the multi purpose crane 
for installing the bell nipple lifting slings the man basket (354kg), which was holding 2 persons, dislodged from the 
main structure of the crane and fell approx.16.5m to the top deck of the platform. Neither of the 2 persons fell as 
they were suspended by their harness and inertia reels. Both personnel were recovered in 2 minutes. One of the 2 
personnel received first aid treatment for slight swelling.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03950,OSHA,"Employees were welding and sandblasting a heat treater. A flash fire occurred inside the tank, and an employee suffered burns to the face and a wrist.",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01782,OSHA,"While an employee was using a manual post driver, his left middle finger was trapped between the driver and a post. The fingertip was crushed; he was hospitalized, and the tip was medically amputated.",Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0079,IOGP_SPI,Plant operator found 6” valve leaking causing 9.5 kcf natural gas release; area barricaded.,None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_00661,OSHA,An employee was working in an oilfield cleaning a sand hopper. He got caught in a hydraulic gate fracturing both femurs.,Line of Fire,,Line of Fire,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_IOGP_SPI_0173,IOGP_SPI,"During normal operations, a failure occurred in the vent header drainage system, causing liquid carryover to the 
flare. No material damage or personal injuries were reported; only soil contamination was recorded in the area 
adjacent to the flare.",None,,None,0,SOURCE_GROUNDED
OILPS_OSHA_03943,OSHA,An employee was removing a clamp from the electrical submersible pump string of a laydown machine when their left index finger was caught between the clamp and the machine. The employee sustained a partial amputation between the first knuckle and the fingernail.,None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_03126,OSHA,"An employee was tasked with offloading a marine vessel. He was resetting the loading arm back into place when his left hand was caught between the load arm head and a fixed dock component, amputating his index and middle fingertips.",None,,None,0,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00388,OSHA,"The employee was welding from a spider lift. While moving the spider lift from one location to another, the employee got his hand caught between the handrail and a steel plate resulting in the loss of the left ring fingertip (bone exposed).",Hot Work,,Hot Work,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_02314,OSHA,A truck driver along with another employee had just finished draining a tanker. They were unhooking the hose from the tanker when hot liquid asphalt struck the driver's arm causing severe burns. The driver was hospitalized.,Driving,,Driving,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_00583,OSHA,"Two employees were setting a steel beam that was attached to the choker of a crane. The crane operator picked up the beam and started cabling up. As the beam started rising, it became caught on part of the structure. The crane continued to pull up. The beam broke loose from the structure that it was caught on and swung free, striking the two employees. One of the employees was hospitalized with fractured ribs, pulmonary contusions, and a collapsed lung.",Safe Mechanical Lifting,,Safe Mechanical Lifting,1,PROJECT_ANNOTATED_AI_ASSISTED
OILPS_OSHA_01518,OSHA,"An employee was standing on planking located on the top buck of a two-end frame, tubular-welded frame scaffold when one of the scaffold planks broke, causing the employee to fall 10 feet to the ground below. The employee suffered a fractured hip and two fractured ribs.",Safe Mechanical Lifting,Working at Height,Safe Mechanical Lifting; Working at Height,2,PROJECT_ANNOTATED_AI_ASSISTED
