record_id,source_record_id,incident_text,top_lsr,top_score,second_lsr,second_score,margin,evidence_labels,semantic_score,agreement_state,suggested_action
OILPS_IOGP_HPE_0017,HPE_P000,"IP1 observed visible bulging of a drain hose and proceeded to disconnect it. Although the associated compressor 
had been isolated, the hose remained connected to the main drainage manifold, which was",Energy Isolation,0.0087,Line of Fire,0.0004,0.0083,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0018,HPE_P021,"Whilst departing the north berth of the supply base wharf, the contractor inspection maintenance repair vessel 
began moving starboard and aft whilst the forward fender was being lifted and recovered ",Working at Height,0.0008,Safe Mechanical Lifting,0.0007,0.0001,Safe Mechanical Lifting | Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0019,HPE_P022,"A crew member stepped out of a cherry picker while connecting a hydraulic hose to the Annular BOP, lost balance, 
and fell onto the cellar-pit grating. Subsequent hospital evaluation confirmed a left ",Working at Height,0.0086,Driving,0.0001,0.0085,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0020,HPE_P000,"2-7/8"" tubing was released from the lifting cap and hit the back of the right shoulder. Fail to secure equipment.",Safe Mechanical Lifting,0.0017,Working at Height,0.0008,0.0009,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0021,HPE_P023,"During hot work activities to replace process lines, the flange of a service water line was broken. This resulted in a 
release of water followed by a hydrocarbon/water emulsion. There was no CO/LEL d",Hot Work,0.0053,Working at Height,0.0008,0.0045,Energy Isolation | Hot Work,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0022,HPE_P024,Fly jib on mobile crane fell to the floor. Lack of training on rarely used equipment.,Safe Mechanical Lifting,0.0022,Hot Work,0.0004,0.0018,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0024,HPE_P000,Employee fell into well cellar. Loose grating led to a fall into the cellar.,Working at Height,0.0019,Hot Work,0.0005,0.0014,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0026,HPE_P027,"When filling a mud tank with brine to prepare for cleaning of the tank, the transfer hose became dislodged, fell 
towards the ground (2.6m) and began to whip. The hose struck the pump operator’s leg, ",Working at Height,0.0014,Hot Work,0.0008,0.0006,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0027,HPE_P028,"On 8 October 2025 on an offshore rig, a lifting operation was underway to land an 11.8 m, 2.67 ton bottom hole 
assembly (BHA) into a storage basket on the riser deck. During the final positioning, th",Energy Isolation,0.0016,Hot Work,0.0008,0.0008,Line of Fire | Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0028,HPE_P029,"An operator was removing a grating panel with manual handling hooks on the weather deck. 
During the operation, the grating unhooked from the manual handling tools and fell through the opening, hit a ",Hot Work,0.0007,Energy Isolation,0.0004,0.0003,Line of Fire,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0029,HPE_P030,"A worker was seriously injured when he fell from a height of 4.4 metres. Two of the workers in the team were working at height. One worker was retrieving formwork beams from a stack 
stored on the faç",Working at Height,0.0142,Energy Isolation,0.0015,0.0127,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0031,HPE_P031,"During platform crane lifting operations to land a container on the main deck North landing, the IP sustained 
a crush/impact injury to shoulder/ribs. The crane and container were made safe and the in",Safe Mechanical Lifting,0.0002,Working at Height,0.0002,0.0,Line of Fire | Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0033,HPE_P000,"Jack failed, with load moving towards personnel. No injuries however fatality as worst case potential outcome. Failure of lifting equipment.",Hot Work,0.0013,Bypassing Safety Controls,0.0,0.0013,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0034,HPE_P033,"Scaffold pole dropped to deck during handling operations. No injuries however dropped object calculator indicates 
fatality as worst case potential outcome. Scaffold pole dropped to deck below during ",Driving,0.0001,Hot Work,0.0001,0.0,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0036,HPE_P035,"A forklift driver’s ankle was struck by a spreader bar during offloading from a truck at the logistics base. There 
were no lifting pockets welded onto the bar. In past lifting operations, the spreade",Driving,0.5259,Energy Isolation,0.0045,0.5214,Driving | Line of Fire | Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0037,HPE_P036,"On an offshore drilling rig, on 1 September 2025, personnel and marine crew were installing handrails on top of a 
unit on the main deck. Handrail sections (60–90 kg) were lifted by deck crane to the ",Working at Height,0.0043,Energy Isolation,0.0005,0.0038,Safe Mechanical Lifting | Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0038,HPE_P037,"In connection with a pigging operation on an offshore installation, several pigs weighing 35 - 40 kg were lowered 
from a scaffold using rope, as the pig receiver was placed 5m above the turret deck. ",Hot Work,0.0019,Safe Mechanical Lifting,0.0005,0.0014,Safe Mechanical Lifting | Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0041,HPE_P040,"During preparations for installing a 20’’ sealing ring on the platform on 2 July 2025, a technician tested the ring 
for fit before the lift operation. The 7.1 kg ring slipped from the technician’s ha",Energy Isolation,0.0015,Working at Height,0.0005,0.001,Hot Work | Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0043,HPE_P042,"During the night shift, the crew attempted to release an anchor latch tool from a permanent packer using a straight 
pull of 60 klbs (including 55 klbs string weight) without success. Following contra",Working at Height,0.0007,Energy Isolation,0.0004,0.0003,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0044,HPE_P043,"While dismantling a scaffold, a contractor accidentally dropped a scaffold board. The board struck a 0.5-inch, 32-bar 
pressurized tube, causing physical damage to the tube and resulting in a gas leak",Energy Isolation,0.0167,Hot Work,0.0043,0.0124,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0046,HPE_P044,"A contractor working in the Telecoms room at Central Control Building was found removing a light fixture from the 
ceiling without ensuring the power was fully isolated. The light was part of an energ",Energy Isolation,0.0005,Working at Height,0.0004,0.0001,Energy Isolation | Work Authorization,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0047,HPE_P045,"Observed that a Contractor Scaffolder working at 12m height on a Piperack without using his fall protection, 
standing on the hanging scaffold platform without using his double lanyards attached to a ",Working at Height,0.0006,Energy Isolation,0.0001,0.0005,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0048,HPE_P046,"A Contractor scaffolder was dismantling a scaffold by removing a 3m high scaffold standard at a height of 11.5m, 
without using lanyards and passing the scaffold standard to a colleague below. 1. Scaf",Safe Mechanical Lifting,0.006,Working at Height,0.002,0.004,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0053,HPE_P051,"A steel structure crew was modifying a permanent grating platform handrail when a crowbar (weight approximately 
0.72kg) fell from the platform (height 20 metres) and landed on the ground below in an ",Energy Isolation,0.0033,Hot Work,0.0002,0.0031,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0055,HPE_P053,"A trailer driver was transporting six concrete barriers (3.5t each) on a flatbed trailer. The barriers were stacked in 
two rows (three in each row), with one cargo lashing belt securing two concrete ",Line of Fire,0.0009,Working at Height,0.0005,0.0004,Driving,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0057,HPE_P055,"A telehandler operator was moving a 714kg pipe spool when he observed a trailer blocking his access. The operator 
pulled the telehandler over to the side waiting for the trailer to move away. When th",Energy Isolation,0.0151,Working at Height,0.0073,0.0078,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0058,HPE_P056,"An 800-ton crawler crane and a 280-ton crawler crane had concluded lifting operations and were idle. A civil crew 
requested the 800-ton crane operator to reposition the hook so they could avoid worki",Safe Mechanical Lifting,0.0208,Energy Isolation,0.0002,0.0206,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0059,HPE_P057,"While a Wellhead Engineer was installing a side outlet valve at the wellhead deck, a Floor Man was preparing 
downhole guides on the upper deck level, but one down hole guide clamp, weighing 7 kg, sli",Energy Isolation,0.003,Working at Height,0.0008,0.0022,Work Authorization | Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0060,HPE_P058,"Power cable damage during excavation. The incident resulted from inadequate excavation planning, including missing cable markers, an overly shallow trial 
pit that failed to expose the deeper 11 kV ca",Safe Mechanical Lifting,0.0099,Working at Height,0.0014,0.0085,Work Authorization,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0062,HPE_P060,"On 30/04/2025, a High Potential (HIPO) occurred when a crane’s counterweight of 15 tonnes fell off the trailer due 
to failure in the securing belt. The trailer was moving from the laydown area to the",Working at Height,0.0006,Energy Isolation,0.0001,0.0005,Driving | Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0063,HPE_P061,"After completing the second gyro survey, the crew began rigging down. On the platform deck, a tugger line was 
attached to the gyro tool as secondary retention. The tool was lifted to the rig floor us",Safe Mechanical Lifting,0.0272,Hot Work,0.0126,0.0146,Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0064,HPE_P062,"During racking-back a 7” landing joint using the Monkey board forward pullback tugger, the line parted, causing 
the parted hook and line to fall from the Monkey board to the rig floor. No one was inj",Working at Height,0.0024,Energy Isolation,0.0007,0.0017,Line of Fire | Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0065,HPE_P063,"The rig crew were in the process of nipple down the bell nipple mandrel. While positioning the multi purpose crane 
for installing the bell nipple lifting slings the man basket (354kg), which was hold",Working at Height,0.0091,Safe Mechanical Lifting,0.0003,0.0088,Safe Mechanical Lifting | Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0066,HPE_P064,"During the workboat transfer operation, workboat was transferred from the laydown area to the transport vessel 
main deck and positioned in its transport cradle. During final positioning, the vessel c",Working at Height,0.0006,Energy Isolation,0.0005,0.0001,Line of Fire | Safe Mechanical Lifting | Work Authorization,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0067,HPE_P065,"Two project contractors were observed working outside the handrail on structural beams approximately 30 meters 
above sea level. They were without the required fall-prevention barriers or authorized p",Working at Height,0.0002,Line of Fire,0.0001,0.0001,Work Authorization | Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0068,HPE_P066,"IP was working alone and attempted to disconnect a 2"" airline which was pressurized. An assumption was made 
that line was de-pressurized without being verified - line was still connected to an air co",Line of Fire,0.0013,Energy Isolation,0.0002,0.0011,Energy Isolation | Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0069,HPE_P067,"On May 20, 2025, a worker was engaged in repositioning a spec blind from the closed to the open position on the 
flare line, in preparation to de-isolate the unit for commissioning activities. During ",Line of Fire,0.0067,Energy Isolation,0.0003,0.0064,Energy Isolation,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0070,HPE_P068,"During a fluid-hauling task, water transfer to a tank truck was completed and the hose was disconnected. A valve 
was found not fully closed, and hot fluid sprayed during subsequent valve manipulation",Energy Isolation,0.0004,Driving,0.0002,0.0002,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0071,HPE_P000,"During offloading of a delivery of structural steel, a stacked load became unstable while the final securement strap 
was being removed. A beam fell from the trailer and struck a worker. Emergency res",Working at Height,0.0021,Safe Mechanical Lifting,0.0003,0.0018,Driving,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0073,HPE_P070,"A Mechanic and an E-Tech were repairing a section of the natural gas manifold on frac pump. The employees were 
replacing a section on the manifold referred to as a pistol. After the repairs were made",Energy Isolation,0.1502,Hot Work,0.0293,0.1209,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0074,HPE_P000,"IP contacted by 2 3/8"" joint of pipe. The team finished wireline work of setting a cast iron bridge plug, pressure tested well, ND frac valve and NU BOP. 
The crew then installed 2.875"" elevators (2.3",Working at Height,0.0026,Energy Isolation,0.0004,0.0022,Safe Mechanical Lifting | Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0075,HPE_P071,"A flash fire occurred during the demolition of internal components in the first-stage knockout drum (module C2) at 
the facility.
NORTH AMERICA ONSHORE
70
Safety performance indicators – 2025 data: Hi",Hot Work,0.0094,Line of Fire,0.0001,0.0093,Confined Space | Hot Work,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0076,HPE_P072,"While releasing the tubing hanger, after a BOP test, unknown pressure had built up below the tubing hanger 
assembly causing it to lift up out of the BOP stack and fall to the ground. Fail to verify z",Energy Isolation,0.1457,Working at Height,0.001,0.1447,Working at Height,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0077,HPE_P073,"While changing out tong heads during an ESP install, the IP’s right arm came into contact with the actuating lever, 
activating the tongs. IP’s left forearm was struck by the rotation of the tongs. PT",Line of Fire,0.0006,Working at Height,0.0004,0.0002,Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0078,HPE_P074,"A worker fell approximately 16 feet from an aerial work platform onto a Christmas tree cart. The incident occurred 
while the worker was using a rope tied to the basket to pull an umbilical and create",Energy Isolation,0.0082,Working at Height,0.0007,0.0075,Line of Fire | Safe Mechanical Lifting,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0079,HPE_P075,"While adjusting the ultra-high-pressure water blasting equipment in close proximity to normally energized cable 
trays, in three separate instances, two workers reported experiencing electrical shock ",Energy Isolation,0.0023,Hot Work,0.0001,0.0022,Work Authorization,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0086,HPE_P082,"Contractor personnel were working on the installation of a 12-inch spool at ground level, while it was being held 
in a lifting operation. For causes yet to be determined, an actuated valve (SDV) loca",Line of Fire,0.0013,Energy Isolation,0.0011,0.0002,Line of Fire | Safe Mechanical Lifting,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0087,HPE_P000,"Crew shuttle collision during a braking manoeuvre, the shuttle initially collided with the vehicle in front, then 
crossed into the oncoming lane and was struck on the right side by a semi-trailer tru",Line of Fire,0.0011,Driving,0.001,0.0001,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0089,HPE_P084,"During the dismantling of scaffolding in a 45° angular configuration, assembler 01 had to apply excessive force 
to loosen a remaining clamp (exposed to the weather) using a ratchet wrench, causing th",Working at Height,0.0343,Line of Fire,0.0003,0.034,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0090,HPE_P085,"During maintenance work at a Generation Unit, the mechanical technician suffered a fall from height, falling to a 
lower level from the engine access platform. During corrective maintenance work on tu",Working at Height,0.0034,Hot Work,0.0007,0.0027,Working at Height,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0091,HPE_P086,"During the heating of an 18-inch pipe to remove the coating, the worker placed the torch at the entrance of the 18-
inch pipe. When attempting to light the torch with a manual spark igniter, a flammab",Hot Work,0.0746,Line of Fire,0.0026,0.072,Hot Work | Work Authorization,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0092,HPE_P087,"During production tubing running operations on the drilling rig, four metallic components fell from height while 
using the catline system.
• Objects dropped from approximately 40 m height
• 2 × 1.8 k",Energy Isolation,0.0011,Working at Height,0.0011,0.0,Work Authorization | Working at Height,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_HPE_0094,HPE_P088,"On 22 March at approximately 08:45, a tool bag was lifted from the rig floor to the derrick using catline #02 during 
equipment mobilisation.
When the bag reached the derrickman’s platform level, it s",Working at Height,0.0021,Energy Isolation,0.0003,0.0018,Safe Mechanical Lifting | Work Authorization,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_FATAL_0005,IOGP_FATAL_P000,"At approximately 03:10 AM, crews were performing flange management on the water 16’’ and 18” lines and 
installation of the blind flange on the 24” overboard line for hydrotest. During the process, cr",Hot Work,0.0013,Energy Isolation,0.0001,0.0012,Hot Work,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0009,IOGP_SPI_P013,"23 Sep 2025, 2:58 AM: Pressure drop (~6 psi) was detected during condensate shipping. Operations halted and 
security alerted.
Early Response: 
BY Security Control Room (BYSCR) coordinated with Quick ",Energy Isolation,0.0019,Line of Fire,0.0001,0.0018,Driving,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0016,IOGP_SPI_P017,"A loss of hydraulic pressure was detected on a subsea system and troubleshooting indicated a subsea hydraulic 
flying lead had disconnected. The impacted well was shut in, methanol supply was isolated",Energy Isolation,0.0011,Line of Fire,0.0003,0.0008,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0018,IOGP_SPI_P018,"A leak of Corrosion Inhibitor (CI) occurred at one of the remote wellhead platforms. The source of the leak was 
identified at the bleed ring plug of the storage tank’s level transmitter, which had be",Hot Work,0.0004,Energy Isolation,0.0003,0.0001,Energy Isolation,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0020,IOGP_SPI_P020,"The puncture is on the pipeline between #6 and #7, approx. 100 m from the #6 collector. The powerfully flowing gas 
completely carried away the soil from the backbone pipeline. Since we were not able ",Working at Height,0.0006,Energy Isolation,0.0005,0.0001,Energy Isolation,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0021,IOGP_SPI_P021,"An incident occurred during the transfer of an amine solution from a truck to a storage tank. The transfer 
was performed using a corrugated flexible hose connected to the truck with a threaded coupli",Driving,0.0443,Working at Height,0.001,0.0433,Energy Isolation,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0022,IOGP_SPI_P000,"After completing the loading of a vacuum truck from the pit located on the premises, a fire broke out between 
the shed and the truck cabin while the engine was running. The fire affected the truck ca",Driving,0.1184,Hot Work,0.0061,0.1123,Driving,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0024,IOGP_SPI_P023,"During permanent plugging, the 13 3/8’’ casing was cut with open BOP at 510 m after all barriers had towards 
all flowing units had been established below cutting depth. A significant volume of trappe",Energy Isolation,0.0001,Bypassing Safety Controls,0.0,0.0001,Hot Work,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0026,IOGP_SPI_P024,"Two operators were preparing the well (gas lift) for maintenance. During preparation, the operators were supposed 
to bleed down the pressure on an isolated segment. Communication was made with the co",Energy Isolation,0.1191,Hot Work,0.0016,0.1175,Energy Isolation | Line of Fire,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0028,IOGP_SPI_P000,"• Leak first detected at 17:19 on 12th Nov.
• Line isolated at 18:25 on 12th Nov and start depressurizing through burn pit.
• Line at zero pressure @ 06:00 on 13th Nov
while leak no personal were in f",Energy Isolation,0.0003,Bypassing Safety Controls,0.0,0.0003,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0030,IOGP_SPI_P027,"Crude oil leak from a 6” line coming from oil wells and going to a facility. The line was isolated. The total volume 
spilled is 20bbls. Corrosion/erosion.
26
Safety performance indicators – Process s",Line of Fire,0.0003,Working at Height,0.0003,0.0,Energy Isolation,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0031,IOGP_SPI_P000,"Crude oil leak from a 6’’ underground line coming from oil well and going to Gathering center. The line was isolated. 
The total volume spilled is 10 bbls. Corrosion/erosion.",Line of Fire,0.0013,Working at Height,0.0012,0.0001,Energy Isolation,0.55,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0032,IOGP_SPI_P028,"Crude oil leak from a line coming from T-Junction and going central processing unit. The line was isolated. The 
total volume spilled is 10 bbls. Corrosion/erosion.",Working at Height,0.0073,Line of Fire,0.0011,0.0062,Energy Isolation,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0033,IOGP_SPI_P029,"Several gas-detection alarms were triggered at a remote manifold station during evening operations, followed 
shortly by a report from field personnel of a major leak accompanied by a loud noise. All ",Energy Isolation,0.0005,Hot Work,0.0004,0.0001,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0035,IOGP_SPI_P030,"On 17 April 2025, at 09:15 AM, during plant round, an operator observed an abnormal sound. Upon further 
inspection of the area, a vapor cloud and condensate leak were identified in Unit-84 from the S",Energy Isolation,0.0001,Working at Height,0.0001,0.0,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0037,IOGP_SPI_P000,"During a scheduled GLSDV function test, the Well head maintenance team confirmed normal operating 
conditions before detecting a hissing sound at the riser line while leaving the platform. The leak wa",Energy Isolation,0.0001,Hot Work,0.0001,0.0,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0039,IOGP_SPI_P000,"On 31st May 2025 at 20:45hr, a loud jetting sound from heard from unmanned offshore platform. Emergency 
shutdown (ESD) was initiated from at 21:05 hr. The operating pressure of the isolated pressure ",Energy Isolation,0.1269,Working at Height,0.0004,0.1265,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0040,IOGP_SPI_P033,"During this operation, the handle and stem assembly of the 3-way valve, operating under an oil pressure of 55 bar, 
detached from the valve body and struck one operator on the lower left side of the f",Energy Isolation,0.1816,Working at Height,0.0094,0.1722,Safe Mechanical Lifting,0.35,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
OILPS_IOGP_SPI_0044,IOGP_SPI_P036,"An operator identified abnormal pressure conditions on a CO2 injection system and confirmed a pipeline failure on a 
CO2 flexpipe segment. The release was isolated and response actions were initiated.",Energy Isolation,0.0014,Hot Work,0.0001,0.0013,Energy Isolation,0.75,PARTIAL_AGREEMENT,Manual Review Pending analyst validation.
