source_record_id,report_date,country,location,activity,event_type,narrative,top_lsr_1,top_lsr_1_score,top_lsr_2,top_lsr_2_score,top_lsr_3,top_lsr_3_score,lsr_confidence,suggested_labels,lsr_prediction_status,review_reason
2015030311,3/13/2015,USA,"CRESCENT, OKLAHOMA",nan,Workplace Safety Incident,"An employee was spotting a tractor that was picking up equipment. The employee slipped, and the employee's hand was caught between the tractor and equipment. The hand was crushed and required surgery.",Safe Mechanical Lifting,0.5695,Driving,0.0145,Energy Isolation,0.0114,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015031221,3/16/2015,USA,"ELMENDORF, TEXAS",nan,Workplace Safety Incident,"An employee amputated his left pinky (small) finger while moving a drill pipe and putting it on a rack. As he lowered the drill pipe, he slipped and his pinky got caught beneath the pipe. nan",Driving,0.9322,Safe Mechanical Lifting,0.8568,Line of Fire,0.2234,MEDIUM,Driving | Safe Mechanical Lifting | Line of Fire,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015031378,3/22/2015,USA,"GREELEY, COLORADO",nan,Workplace Safety Incident,"An employee fractured his right middle finger while loading a 250-pound test plug onto the back of his truck. The forklift used to raise the load released it, and the employee's finger got caught betw",Driving,0.6312,Safe Mechanical Lifting,0.168,Line of Fire,0.0178,MEDIUM,Driving,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015031548,3/28/2015,USA,"WILLISTON, NORTH DAKOTA",nan,Workplace Safety Incident,Employees were connecting a drill pipe. The injured employee suffered a partial amputation to his pinky finger when it got caught between the pipe and tong. nan,Line of Fire,0.5455,Hot Work,0.0994,Safe Mechanical Lifting,0.0959,MEDIUM,Line of Fire,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015041665,4/1/2015,USA,"HOUSTON, TEXAS",nan,Workplace Safety Incident,An employee with a sledgehammer struck the injured employee's left middle finger while he was holding a board. The injured employee's fingertip was amputated. nan,Safe Mechanical Lifting,0.5298,Line of Fire,0.1492,Energy Isolation,0.1394,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015041709,4/2/2015,USA,"RUNGE, TEXAS",nan,Workplace Safety Incident,"Employees were replacing equipment to install a cannon ball. As they were replacing the equipment, an employee bumped one of the valves. Pressure was released, spraying onto the employee's neck. nan",Energy Isolation,0.6399,Confined Space,0.0124,Hot Work,0.0057,MEDIUM,Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015042422,4/28/2015,USA,"PEARSALL, TEXAS",nan,Workplace Safety Incident,An employee was struck by a company truck at the company's construction yard and hospitalized for a broken leg. nan,Driving,0.5818,Safe Mechanical Lifting,0.0161,Line of Fire,0.0054,MEDIUM,Driving,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015052818,5/13/2015,USA,"HOUSTON, TEXAS",nan,Workplace Safety Incident,"An employee was assembling oilfield parts. He had a small piece of pipe (approximately 3-feet high) and was attaching another piece (approximately 500 lbs. with an 18"" diameter) to the upright station",Safe Mechanical Lifting,0.5676,Driving,0.0054,Working at Height,0.0025,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015053107,5/22/2015,USA,"CHALMETTE, LOUISIANA",nan,Workplace Safety Incident,An operator was instructing a new employee how to operate the hydro blasting machine when it suddenly actuated. The operator suffered injuries to the hand and was admitted to the local hospital for su,Safe Mechanical Lifting,0.5593,Working at Height,0.0062,Work Authorization,0.001,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015053126,5/24/2015,USA,"DECATUR, ILLINOIS",nan,Workplace Safety Incident,"On May 24, 2015, an employee working near a mud pump suffered an injury to his right leg/knee when he was struck by fluid under pressure when a hose ruptured. nan",Energy Isolation,0.5249,Line of Fire,0.0135,Hot Work,0.0051,MEDIUM,Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015063371,6/3/2015,USA,"AMARILLO, TEXAS",nan,Workplace Safety Incident,"On or about 3 June 2015, at approximately 1825 hours, an AR Daniel Construction employee was hospitalized due to an injury acquired at the jobsite. The employee was working in a trench under the railr",Safe Mechanical Lifting,0.997,Line of Fire,0.9559,Energy Isolation,0.2879,MEDIUM,Safe Mechanical Lifting | Line of Fire,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015064028,6/24/2015,USA,"CROSBY, TEXAS",nan,Workplace Safety Incident,An employee was changing a belt on an abrasive blasting machine. The employee placed the belt on the pulley while the machine was still turning. The pulley pulled his finger into the machine. His left,Safe Mechanical Lifting,0.5915,Hot Work,0.0537,Work Authorization,0.0143,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015074826,7/19/2015,USA,"HUDSON, COLORADO",nan,Workplace Safety Incident,An employee was walking near a forklift holding a non-secure joint casing. The employee sustained a compound fracture to the leg when the joint casing rolled off the forklift tines and landed on the e,Safe Mechanical Lifting,0.9998,Energy Isolation,0.8602,Driving,0.0571,MEDIUM,Safe Mechanical Lifting | Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015074926,7/21/2015,USA,"ORLA, TEXAS",nan,Workplace Safety Incident,"On or about 19 July 2015, at approximately 1600 hours, an employee of Precision Drilling was lowering a roof over the mud tanks area during rigging down procedures. The roof fell on top of him, fractu",Working at Height,0.697,Energy Isolation,0.0084,Safe Mechanical Lifting,0.0048,MEDIUM,Working at Height,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015075282,7/30/2015,USA,"WESTLAKE, LOUISIANA",nan,Workplace Safety Incident,An employee was burned by hot water while disconnecting a pump hose that was under pressure. He was hospitalized. nan,Energy Isolation,0.4855,Line of Fire,0.0051,Bypassing Safety Controls,0.0018,MEDIUM,Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015085564,8/7/2015,USA,NORTH DAKOTA,nan,Workplace Safety Incident,Employee was struck by a high pressure rigid line on a oil and gas production site and sustained non-life-threatening injuries. nan,Energy Isolation,0.6451,Safe Mechanical Lifting,0.0002,Bypassing Safety Controls,0.0001,MEDIUM,Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015085925,8/19/2015,USA,"NORCROSS, GEORGIA",nan,Workplace Safety Incident,"An employee was installing light posts when the derrick truck swung the light post and contacted the power line behind them. The trailer holding the post became energized, and the employee received se",Working at Height,0.9902,Driving,0.966,Line of Fire,0.0156,MEDIUM,Working at Height | Driving,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015086175,8/26/2015,USA,"LEVELLAND, TEXAS",nan,Workplace Safety Incident,An employee was holding a pin while another employee was driving the pin in with a hammer. The employee's finger was struck by the hammer resulting in the amputation of the fingertip. nan,Line of Fire,0.9907,Safe Mechanical Lifting,0.9422,Energy Isolation,0.121,MEDIUM,Line of Fire | Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015096411,9/3/2015,USA,"BAYTOWN, TEXAS",nan,Workplace Safety Incident,An employee was working to set a tool up to start torqueing when his pinky finger got caught between the hydraulic torque wrench and a part. He dislocated his pinky finger. nan,Safe Mechanical Lifting,0.5009,Driving,0.0176,Line of Fire,0.0082,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015096462,9/4/2015,USA,"NORTH PALM BEACH, FLORIDA",nan,Workplace Safety Incident,"An employee was disassembling a one-tier tubular scaffold. The employee removed the cross bracing first. When a coworker removed the planks, the scaffold members came down and struck the employee, cau",Safe Mechanical Lifting,0.9991,Working at Height,0.973,Energy Isolation,0.0363,MEDIUM,Safe Mechanical Lifting | Working at Height,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015097053,9/24/2015,USA,"MATHIS, TEXAS",nan,Workplace Safety Incident,An employee was cleaning out the air actuator. The employee called out to a second employee who did not hear him correctly and the second employee closed a valve amputating the employee's right middle,Work Authorization,0.6588,Energy Isolation,0.5323,Confined Space,0.4013,MEDIUM,Work Authorization | Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015107653,10/14/2015,USA,"WILLISTON, NORTH DAKOTA",nan,Workplace Safety Incident,The employee was pulling a safety pin out of an outrigger on the telebelt and had his finger pinched in the outrigger. The employee sustained a flesh amputation to the fingertip of the right hand midd,Working at Height,0.4759,Line of Fire,0.1277,Energy Isolation,0.0818,MEDIUM,Working at Height,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015107725,10/16/2015,USA,"HEIDELBERG, MISSISSIPPI",nan,Workplace Safety Incident,The elevator lifting a 30 foot long pipe at an oil well shifted causing the bottom of the pipe to strike an employee in the back. This employee then fell against a second employee pushing the tongs in,Hot Work,0.7223,Safe Mechanical Lifting,0.6088,Energy Isolation,0.5417,MEDIUM,Hot Work | Safe Mechanical Lifting | Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015107970,10/24/2015,USA,"DEER PARK, TEXAS",nan,Workplace Safety Incident,An employee was disposing of lab quantities of chemicals and came in contact with 50% phosphoric acid. The employee suffered chemical burns to the right hand. nan,Work Authorization,0.5953,Safe Mechanical Lifting,0.1868,Energy Isolation,0.0152,MEDIUM,Work Authorization,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015108074,10/28/2015,USA,"HOUSTON, TEXAS",nan,Workplace Safety Incident,"An employee was making welding repairs to one of the pad eyes on a 30 inch Blow Out Preventer (BOP). The task required the employee to place the BOP on a table positioner. While welding the 14,000 lbs",Hot Work,0.9936,Working at Height,0.8873,Energy Isolation,0.0759,MEDIUM,Hot Work | Working at Height,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015108116,10/30/2015,USA,"MARTINEZ, CALIFORNIA",nan,Workplace Safety Incident,An employee was removing excess grease lube from a boom drum on the derrick with a putty knife and got his right hand fingers caught in the rotating metal gears. His right index finger was amputated a,Line of Fire,0.8292,Working at Height,0.82,Safe Mechanical Lifting,0.0286,MEDIUM,Line of Fire | Working at Height,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2015118641,11/15/2015,USA,"COTULLA, TEXAS",nan,Workplace Safety Incident,An employee was pulling wire on the slip line of a truck when the wire loop caught and amputated his thumb tip. nan,Driving,0.5355,Line of Fire,0.0011,Bypassing Safety Controls,0.0001,MEDIUM,Driving,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015118871,11/23/2015,USA,"WASHINGTON, PENNSYLVANIA",nan,Workplace Safety Incident,An employee suffered a fracture to his left hand while moving a hydraulic catwalk. nan,Safe Mechanical Lifting,0.6257,Line of Fire,0.0097,Hot Work,0.0031,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015118918,11/24/2015,USA,"OKLAHOMA CITY, OKLAHOMA",nan,Workplace Safety Incident,"An employee was transferring wire cable from a spool to a cradle. His right-hand middle finger got caught between a washer and a bolt, amputating the distal third of his fingertip. He required reattac",Line of Fire,0.4967,Working at Height,0.1299,Safe Mechanical Lifting,0.0089,MEDIUM,Line of Fire,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2015129745,12/27/2015,USA,"KERSEY, COLORADO",nan,Workplace Safety Incident,An employee was unscrewing a 90 foot vertical pipe weighing 1000 lbs. from the rigging. The pipe came loose and fell onto the employee's right foot. The employee was hospitalized for treatment and the,Safe Mechanical Lifting,0.5559,Working at Height,0.1104,Work Authorization,0.0679,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016010669,1/23/2016,USA,"DELAWARE CITY, DELAWARE",nan,Workplace Safety Incident,"A Delaware City Refining Company employee was walking to his work location on 1/23/16, at approximately 1:00 AM during an intense snow event. As he was walking, he stopped on the side of the road to a",Driving,0.6189,Line of Fire,0.0054,Working at Height,0.005,MEDIUM,Driving,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016010838,1/28/2016,USA,"BATON ROUGE, LOUISIANA",nan,Workplace Safety Incident,An employee was attempting to center a winch drum spacer on a lathe. The winch drum spacer flipped off the lathe and fell onto his right foot resulting in injury. The employee sustained a contusion on,Safe Mechanical Lifting,0.6688,Working at Height,0.0658,Energy Isolation,0.0103,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016010925,1/30/2016,USA,"LITTLE ROCK, ARKANSAS",nan,Workplace Safety Incident,An employee was using a pry bar to guide the base of a jib crane over the bolts in the floor. The base was suspended by straps attached to a forklift. The base slipped in the straps and pinned the emp,Safe Mechanical Lifting,0.9982,Energy Isolation,0.9744,Line of Fire,0.0188,MEDIUM,Safe Mechanical Lifting | Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2016021171,2/7/2016,USA,"VICKSBURG, MISSISSIPPI",nan,Workplace Safety Incident,An employee was repairing a leaking site glass containing caustic acid when the glass ruptured. The employee suffered thermal burns from the wrist to the shoulder. nan,Work Authorization,0.9888,Hot Work,0.9755,Driving,0.7672,MEDIUM,Work Authorization | Hot Work | Driving | Confined Space,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2016021441,2/16/2016,USA,"BIG LAKE, TEXAS",nan,Workplace Safety Incident,An employee was engaged in rigging down activities. The top drive cradle fell from the rig and struck an employee on the leg resulting in amputation of the leg. nan,Safe Mechanical Lifting,0.5553,Working at Height,0.0645,Energy Isolation,0.0008,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016021505,2/17/2016,USA,"HOP BOTTOM, PENNSYLVANIA",nan,Workplace Safety Incident,An employee was moving a 2' base plate with a fork truck and 1/2 inch chain. He caught his finger between the fork and the chain amputating the right index fingertip. nan,Driving,0.972,Safe Mechanical Lifting,0.9677,Working at Height,0.0556,MEDIUM,Driving | Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2016021590,2/20/2016,USA,"CHANUTE, KANSAS",nan,Workplace Safety Incident,"On 2/20/2016, at around 4:00 p.m., an employee was using a machine called a planner to prep the poly pipe for welding repairs when a short burst of flame occurred. The employee received second degree ",Hot Work,0.9979,Energy Isolation,0.9164,Confined Space,0.1296,MEDIUM,Hot Work | Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2016021703,2/24/2016,USA,"INGLESIDE, TEXAS",nan,Workplace Safety Incident,An employee was unloading a metal table from a trailer with coworkers when the table flipped and landed on top of the employee. The employee was crushed and required hospitalization. nan,Working at Height,0.4601,Safe Mechanical Lifting,0.0134,Line of Fire,0.009,MEDIUM,Working at Height,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016021812,2/26/2016,USA,"MADISONVILLE, TEXAS",nan,Workplace Safety Incident,"On February 26, 2016, an employee had unloaded a load of salt water from the trailer before bringing it to the shop to help a mechanic remove bolts from the lid on the first hatch to replace the scrub",Hot Work,0.4575,Working at Height,0.0291,Energy Isolation,0.0125,MEDIUM,Hot Work,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016032066,3/8/2016,USA,"STONEWALL, LOUISIANA",nan,Workplace Safety Incident,"An employee was cleaning wet sand from the sand bin gate when the gate closed on his left hand, causing multiple fractures and lacerations. He required sutures. nan",Safe Mechanical Lifting,0.6593,Line of Fire,0.3084,Working at Height,0.153,MEDIUM,Safe Mechanical Lifting | Line of Fire,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016032071,3/8/2016,USA,"ONEIDA, WISCONSIN",nan,Workplace Safety Incident,The employee was picking up hand tools and materials from around a drilling rig when he was struck in the head by a falling drilling rod and knocked unconscious. He suffered a head and neck vertebra i,Energy Isolation,0.5196,Line of Fire,0.0834,Safe Mechanical Lifting,0.0014,MEDIUM,Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016032262,3/14/2016,USA,"LACONIA, NEW HAMPSHIRE",nan,Workplace Safety Incident,"Two employees were cleaning a 30-foot tube with a chemical mixture of hydrochloric and nitric acids inside. The tubing became over-pressurized and the end cap dislodged, spraying the mixture onto the ",Hot Work,0.5288,Energy Isolation,0.0183,Working at Height,0.0103,MEDIUM,Hot Work,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016032598,3/28/2016,USA,"PENNSBORO, WEST VIRGINIA",nan,Workplace Safety Incident,"On March 28, 2016, at approximately 11:20 p.m., an employee exited his excavator and peered into the bin where he was placing additives. Wearing metatarsal gloves, the employee placed his left hand on",Line of Fire,0.5916,Working at Height,0.0253,Safe Mechanical Lifting,0.0056,MEDIUM,Line of Fire,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016032719,3/31/2016,USA,"ODESSA, TEXAS",nan,Workplace Safety Incident,"An employee was removing a pump from a truck using a forklift. Another employee was removing the last bolt from the pump on the back of the truck, when the forks of the forklift struck that employee i",Safe Mechanical Lifting,0.9918,Driving,0.9835,Energy Isolation,0.1867,MEDIUM,Safe Mechanical Lifting | Driving,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2016042817,4/4/2016,USA,"KERSEY, COLORADO",nan,Workplace Safety Incident,"A rig crew was attempting to pull a drill rig through the mud using a company-owned winch truck. While doing so, the winch line separated, striking the injured employee. The employee was hospitalized ",Safe Mechanical Lifting,0.9672,Driving,0.9273,Working at Height,0.0713,MEDIUM,Safe Mechanical Lifting | Driving,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2016043141,4/14/2016,USA,"ORANGE, TEXAS",nan,Workplace Safety Incident,An employee was transferring wax from a storage tank into a tanker truck. The employee opened a valve that was under pressure and a fire occurred. The employee sustained second and third degree burns ,Energy Isolation,0.9439,Hot Work,0.8479,Confined Space,0.3662,MEDIUM,Energy Isolation | Hot Work,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2016043167,4/15/2016,USA,"GREENVILLE, TEXAS",nan,Workplace Safety Incident,An employee's finger was partially amputated when it was caught in a strap being used to rig pipe. nan,Line of Fire,0.5094,Safe Mechanical Lifting,0.0013,Driving,0.0009,MEDIUM,Line of Fire,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016043279,4/19/2016,USA,"SAINT ROSE, LOUISIANA",nan,Workplace Safety Incident,"Employees were removing a loading arm from the loading platform and were using a rope to hold the loading arm in place. The rope snapped, which caused the arm to swing down and hit an employee in the ",Energy Isolation,0.4798,Hot Work,0.2036,Confined Space,0.0095,MEDIUM,Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016054101,5/12/2016,USA,"MAURICE, LOUISIANA",nan,Workplace Safety Incident,"An employee was moving heavy equipment on the rig floor when his left hand was caught between two pieces of the equipment, amputating his ring fingertip and the first knuckle of his middle finger. nan",Safe Mechanical Lifting,0.5215,Hot Work,0.0712,Energy Isolation,0.0187,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016054606,5/25/2016,USA,"WATONGA, OKLAHOMA",nan,Workplace Safety Incident,"An employee was plumbing in a separator on a natural gas line that had pressure in it. The line blew up and knocked the employee to the ground, spraying him with dirt and rocks. He fractured his skull",Energy Isolation,0.9916,Confined Space,0.9557,Hot Work,0.3242,MEDIUM,Energy Isolation | Confined Space,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2016065805,6/28/2016,USA,"ELMWOOD, OKLAHOMA",nan,Workplace Safety Incident,"An employee was pulling a rope connected to tubing when the tubing bent and the attached clamp struck him in the face and collarbone. He suffered a facial laceration and fractured collarbone, requirin",Safe Mechanical Lifting,0.4844,Energy Isolation,0.0525,Line of Fire,0.0271,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016065896,6/30/2016,USA,"CLAYSVILLE, PENNSYLVANIA",nan,Workplace Safety Incident,"An employee was performing maintenance on skid steer equipment. The employee was changing the bucket and putting pins on. The lock pins were stuck so the employee used a pry bar to pop it loose, but i",Energy Isolation,0.4758,Line of Fire,0.0012,Confined Space,0.0011,MEDIUM,Energy Isolation,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016076246,7/12/2016,USA,"HARTS, WEST VIRGINIA",nan,Workplace Safety Incident,"On July 12, 2016, at approximately 1:45 p.m., an employee was attempting to remove a stairway from a 100-barrel tank that was also being prepped for removal. The stairway was held to a platform by two",Safe Mechanical Lifting,0.5017,Work Authorization,0.1837,Hot Work,0.1127,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016076492,7/18/2016,USA,"MIDLAND, TEXAS",nan,Workplace Safety Incident,Employees were picking up a mud pump using a winch and two trucks. The winch line slipped and broke causing the truck holding the pump to be raised approximately five feet off the ground and then slam,Driving,0.9827,Safe Mechanical Lifting,0.91,Working at Height,0.1436,MEDIUM,Driving | Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
2016076585,7/20/2016,USA,"BAYTOWN, TEXAS",nan,Workplace Safety Incident,"Rigging employees were setting a pipe that was 20 feet long, 24 inches in diameter, and weighed 5 tons. As the load was being transferred from the crane to the rack, the riggers were adjusting the cha",Safe Mechanical Lifting,0.5172,Energy Isolation,0.0052,Working at Height,0.0026,MEDIUM,Safe Mechanical Lifting,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016076762,7/25/2016,USA,"INOLA, OKLAHOMA",nan,Workplace Safety Incident,An employee fell 15 feet from a forklift mast while trying to put an overhead door back on its tracks. The employee sustained three broken ribs and an injury to the T9/T10 vertebrae. nan,Safe Mechanical Lifting,0.698,Working at Height,0.4239,Driving,0.0117,MEDIUM,Safe Mechanical Lifting | Working at Height,MEDIUM_CONFIDENCE_HUMAN_REVIEW,MEDIUM_CONFIDENCE
2016087292,8/5/2016,USA,"JOHNSTOWN, COLORADO",nan,Workplace Safety Incident,"An employee was performing tank gauging on a produced water tank. After opening the tank's thief hatch, the employee was exposed to hydrogen sulfide, suffering headaches and nausea. nan",Work Authorization,0.9912,Confined Space,0.9786,Hot Work,0.2139,MEDIUM,Work Authorization | Confined Space,MEDIUM_CONFIDENCE_HUMAN_REVIEW,LOW_MARGIN
