record_id,narrative,all_lsrs
OILPS_OSHA_02519,An employee assisting in hydro-excavation operations sustained injuries to the left foot from a pressure washer being operated by another employee. The injured employee sustained lacerations on the left foot a few inches above the ankle and between the little toe and the fourth toe.,Energy Isolation
OILPS_IOGP_FATAL_0010,Fatal fire following premature restart during PSV maintenance.,
OILPS_OSHA_00499,"An employee was using a pry bar to guide the base of a jib crane over the bolts in the floor. The base was suspended by straps attached to a forklift. The base slipped in the straps and pinned the employee's right hand between the pry bar and the floor, breaking his right index finger and requiring hospitalization.",Energy Isolation; Safe Mechanical Lifting
OILPS_OSHA_02123,An employee had been operating a pumping unit at a salt water disposal facility when a fire/explosion occurred. The employee sustained third degree burns to 60 percent of his body.,Hot Work
OILPS_OSHA_01941,"A foreman and his crew were about to take a section of a crane hook and move it into position. The foreman stopped work, noticing something wrong, and the pipe shifted and struck his hands while they were on the handrail. He suffered amputation injuries to his left ring and little fingers.",Safe Mechanical Lifting
OILPS_OSHA_02050,An employee was about to flip a breaker when he suffered a burn to his right hand.,Energy Isolation
OILPS_OSHA_03501,An employee was loading a railcar when a flash fire occurred. The employee sustained first- and second-degree burns to the left side of the body.,Hot Work
OILPS_OSHA_04155,An employee was performing winching operations on a flatbed when their left hand was pinched between a winch hook and a nylon bridle resulting in the amputation of his left index finger.,Safe Mechanical Lifting
OILPS_IOGP_SPI_0057,"Based on witness statements and post incident evidence. On 5/9/2025, at approximately 12:30 hours, a gas leak 
occurred on the gas filter separator located at the Compressor Station. A vapor cloud formed until it contacted an 
unknown ignition source. The vapor cloud “exploded” and caused a fire which damaged the adjacent glycol reboiler 
along with other equipment.",
OILPS_OSHA_03398,"An employee was standing on the rig, spooling the line, when the tubing line got caught around both ankles. The unit engaged and he sustained a left ankle fracture and right ankle sprain.",
OILPS_IOGP_SPI_0004,"On February 28, 2025, around 9:00am field Operators, upon arrival at the field, spotted a gas leak bubbling a 
few meters from the well jackets. No oil sheen noticed, only gas bubbles. Later we found out to be related to a 
temporary abandoned well.",
OILPS_IOGP_HPE_0031,"During platform crane lifting operations to land a container on the main deck North landing, the IP sustained 
a crush/impact injury to shoulder/ribs. The crane and container were made safe and the individual treated by 
platform advanced first aider followed by coastguard medevac for further assessment.",
OILPS_OSHA_02648,An employee was operating a forklift at a well site and was hospitalized for heat stress.,Safe Mechanical Lifting
OILPS_OSHA_00049,"An employee was on the stabbing board to hang the tong line. He unhooked the derrick climber from his harness and when he let go of it he was hit in the mouth, lost his footing, and fell even though his lanyard was attached. His face hit the standpipe of the derrick and the 3 foot fall injured his back.",Line of Fire; Working at Height
OILPS_OSHA_00436,On 11/22/2015 at 11:50 a.m. an employee was isolating the gas line to identify the point of a suspected ice plug. He walked over to the meter when the hammer union on a two inch gas line disconnected and the pipe struck his leg injuring the tibia and fibula.,
OILPS_IOGP_HPE_0058,"An 800-ton crawler crane and a 280-ton crawler crane had concluded lifting operations and were idle. A civil crew 
requested the 800-ton crane operator to reposition the hook so they could avoid working under it. While slewing, the 
boom tip section of the 800-ton crawler crane contacted the wire rope of the stationary 280-ton crawler crane. The 
crane was operating within a barricaded area. No visible damage was found on both crawler cranes, and there were 
no injuries",
OILPS_OSHA_01097,"While rigging down after working for 12 hours, an employee began feeling weak and displaying signs of heat exhaustion. The employee was hospitalized.",Safe Mechanical Lifting
OILPS_OSHA_03150,"On the morning of July 21, 2022, two employees were at a stacked rig, removing 4-inch high-pressure piping. They began to break the nuts loose on the saddle clamp bolts under the valve tree. As they were breaking loose the last nut, the piping suddenly rotated in the saddle clamp and the transducer valve tree (about 4 feet tall, weighing 250 pounds) pivoted 90 degrees toward the ground and landed on one of the employees. The hammer union ears at the top of the valve tree struck him in the middle of the shoulder and back, causing contusions.",Energy Isolation
OILPS_OSHA_02138,Two employees were welding pipe when the 9x9 steel welding hut blew over due to a microburst. One employee was hospitalized for a fractured leg and hip.,Hot Work
OILPS_OSHA_02688,"A hoist was being used to move a 700 lbs. object. While holding a chain to help direct the object, an employee tripped and was struck by the object. The employee suffered a head/scalp injury, an injury to the left hand, and a left pinky finger injury. The employee required surgery for all injuries.",Line of Fire; Safe Mechanical Lifting
OILPS_IOGP_SPI_0159,"The worker, holding the position of Plant Specialist Operator, was splashed with hot liquid (amine). He was 
transported via regular flight to the hospital for evaluation by a specialist. His health condition is stable, and one day 
of medical leave was issued.",
OILPS_OSHA_02622,An employee was taking pressure readings on a hull when his right foot fell into the hull opening where grating had been removed. The employee was hospitalized with broken ribs and torn tissue in his knee.,Energy Isolation
OILPS_OSHA_00824,An employee was tripping out rods on a servicing rig when his hand was caught above the rod transfer case near the swivel. His right arm was then caught and fractured on the rod transfer.,
OILPS_OSHA_03082,An employee was moving a welding machine when it tipped over and crushed the fingers on his right hand. Part of a finger was medically amputated.,Hot Work
OILPS_IOGP_SPI_0202,"A flash fire occurred during the demolition of internal components in the first-stage knockout drum (module C2) at 
the facility.
136
Safety performance indicators – Process safety events – 2025 data
===PAGE_137===",
OILPS_IOGP_SPI_0121,"Pipeline Lease Automatic Custody Transfer (LACT) unit leak from nipple under flow meter spilled 33 bbl. on pad; 30 
bbl. recovered.",
OILPS_OSHA_02763,"An employee was dumping a mini dumpster, mounted on a forklift, into a large trash container. When the mini dumpster tipped, the employee's finger was caught between it and the forklift's forks. The employee's fingertip was amputated.",Safe Mechanical Lifting
OILPS_IOGP_SPI_0074,Comms failure at tank battery caused 110 bbl PO release from water tank thief hatch; all product recovered.,
OILPS_IOGP_SPI_0081,Corrosion pinhole caused spill of 68.13 bbl oil and 158.97 bbl water; remediation to follow.,
OILPS_OSHA_01659,"An employee was operating a blender. Noticing that a booster pump was running, he began walking toward it to turn it off. The booster pump deadheaded, causing pressure and steam to build up in the line, and as the employee approached an 8-inch suction hose broke loose from the pump and struck him in the lower left leg. He suffered a compound fracture to the left leg and second-degree steam burns to the torso.",Energy Isolation
OILPS_IOGP_SPI_0155,"A fire incident occurred at the Central Tank Battery (CTB), with preliminary assessments indicating that the origin 
point was Lease Automatic Custody Transfer (LACT) unit Pump B. The ignition source remains undetermined at 
this time. The fire resulted in extensive damage to The LACT system, adjacent storage tanks, and MCC building. The 
estimated product involved with the incident is approximately 182 barrels of crude oil.",
OILPS_IOGP_SPI_0027,"Gas Lift Line had a major leak due to external corrosion - MGI Header also had a minor leak as a result of being 
impacted from the leak of the Gas Lift Line.",
OILPS_OSHA_00018,"Employee slipped on ice and broke femur while working on well site in the vicinity of the Anderson 1-4-H location near Williston, North Dakota.",
OILPS_IOGP_HPE_0082,"A dropped object incident occurred while lowering an overdrive with the casing joint held stationary in the elevator. 
The mud saver (component of overdrive) contacted top of the liner joint in the rotary, causing failure at the 
connection to the mandrel. The mud saver (~40 kg) fell ~14 meters to the rig floor.
Two personnel were in the red zone at the time (required for the task).",
OILPS_OSHA_02965,An employee was replacing a drill rig's transfer case. The case shifted and amputated the tip of the employee's right index finger.,
OILPS_IOGP_SPI_0082,Failed gasket on 8” flange caused 145 bbl oil spill; majority recovered; no water impacted.,
OILPS_OSHA_04052,"An employee was using a motorized saw to cut the top off a test barrel. His left glove got caught and pulled into the saw, resulting in amputation of the index fingertip. The employee was hospitalized.",
OILPS_OSHA_02744,"On February 17, 2021, an employee was completing rounds through a natural gas planet when he slipped and fell on an ice spot. He was hospitalized, having suffered a broken left hip.",
OILPS_IOGP_HPE_0019,"A crew member stepped out of a cherry picker while connecting a hydraulic hose to the Annular BOP, lost balance, 
and fell onto the cellar-pit grating. Subsequent hospital evaluation confirmed a left zygomatic bone fracture.",
OILPS_IOGP_HPE_0020,"2-7/8"" tubing was released from the lifting cap and hit the back of the right shoulder.",
OILPS_OSHA_00868,"An employee was waiting inside of his vehicle for the pipe to pull through and heard the equipment make an erratic sound. The employee stepped out of his vehicle to check on the pulling equipment. As he approached the cable pulling equipment, the cable released from its guide/pulley and whipped back and forth striking the employee and breaking an arm.",Driving
OILPS_OSHA_04162,An employee was preparing an oven for charging and cracked the seal of the jump lid to release pressure. Flames unexpectedly released from the oven and burned the employee's right ring and little fingers. The employee sustained second-degree burns.,Energy Isolation
OILPS_OSHA_03091,"An employee was lifting a 100-pound exhaust manifold off an engine using a service truck crane. While he was maneuvering the manifold toward the bed of his truck, it struck his left index finger and caught it against a pressure relief valve. He suffered a laceration and fracture to the finger and was hospitalized.",Energy Isolation; Safe Mechanical Lifting; Driving
OILPS_OSHA_02967,An employee tripped and twisted his ankle while stepping down from a machine. He suffered a displaced fracture to the right fibula and a sprained ligament in the right ankle.,
OILPS_OSHA_03038,"An employee was walking toward a pump on which he was installing a new suction manifold. He tripped over the old manifold, lying on the ground, and fell. He suffered a compound fracture to the left forearm and was hospitalized.",Energy Isolation
OILPS_OSHA_01559,"An employee finished rigging and was walking in an area where a crew was loading an exchanger bundle on a trailer when the load shifted, pinning the employee between the active load and an adjacent stationary load. The employee suffered a fractured left femur and pelvis.",Safe Mechanical Lifting
OILPS_OSHA_00994,"While climbing a ladder to an acid gas/ammonia gas drum platform, an employee missed the second rung from the top of the ladder and fell approximately 7 feet. The employee suffered a fractured hip and lacerated elbow.",Working at Height; Toxic Gas / Hazardous Substance
OILPS_IOGP_HPE_0080,"Following heavy rainfall, landslide occurred in the area behind the ten wagon-type cabins (accommodation, canteen, 
washing, changing, and rest facilities) located at the oil well site. A ground instability and multiple surface cracks 
were identified in the surrounding area.
Personnel were immediately informed of the hazardous ground conditions and instructed to remain vigilant and 
exercise caution.
As a preventive control measure, the wagon-type units were relocated to a safer area to eliminate the risk of impact 
from further ground movement.",
OILPS_OSHA_03968,An employee was working on the motor of a reclaimer that recycles drilling fluid when they received an electrical shock and burns.,
OILPS_IOGP_FATAL_0191,Worker died due to (allegedly) being hit by a surface test line while carrying out well surveillance work.,
OILPS_OSHA_01181,"An employee was attempting to replace a gasket in a valve on a separator trailer when he fell and struck a tire rim that was on the ground, breaking ribs and suffering spleen damage.",Confined Space
OILPS_OSHA_03624,"An employee was moving a piece of an I-beam for welding when it rolled off the cribbing. The employee went to catch it when it fell and crushed the employee's finger, resulting in a partial amputation.",Hot Work
OILPS_OSHA_00502,"An employee was helping an aerial access driver load multiple mobile light plants that were off-rent onto an aerial access trailer. The employee was bent down in a squat position, attempting to adjust the tongue of a mobile light tower, when the aerial access driver put his back against the rear light plant and shoved it forward. The employee's index finger was caught between the transport trailer deck and tongue of the mobile light tower, amputating the left index fingertip.",Driving
OILPS_OSHA_03148,"An employee was stepping from a ladder to an elevated work platform, when they slipped and fell 22 feet to the ground. The employee sustained a fractured right leg that required hospitalization.",Working at Height
OILPS_OSHA_03413,"On May 4, 2023, an employee was cutting a catwalk platform with a torch. When the pressure released, the platform fell back toward the employee and knocked him off his feet. The platform then landed on his leg, resulting in a fracture.",Energy Isolation; Hot Work
OILPS_OSHA_00556,An employee was repairing a flow pipe when he tripped and fell backward with the flow pipe on his body. He fractured his left ankle.,
OILPS_OSHA_02102,"An employee was tightening the packing bolts on a beam pumping unit in the oil field by using an air impact wrench when the head of the unit, while in a down stroke, came in contact with the impact wrench forcing it downward and mashing the tool against the left index finger. The employee sustained a partial amputation of the left index fingertip.",
OILPS_IOGP_SPI_0043,"An uncontrolled release to surface occurred at a thermal well pad, and incident management resources were 
activated to support response and stabilization. The investigation is ongoing.",
OILPS_OSHA_01500,An employee slipped and fell on ice in the parking lot. He injured his knee and required surgery.,
OILPS_OSHA_03723,"An employee was performing abrasive blasting on two six-inch pipes. While rolling the pipe in the kneeling position, the blast nozzle engaged. They sustained an abrasion of the right inner thigh from the abrasive blasting media contacting them at 95 PSI.",Energy Isolation
OILPS_OSHA_02286,"Employees were moving a pipeline inspection tool barrel. The injured employee was pulling on the rigging in order to allow a forklift to move the barrel through an open door. As the barrel was coming through the door, the rigging slipped off the fork and the barrel landed on the employee's foot. The employee's two left toes adjacent to his big toe were amputated.",Safe Mechanical Lifting
OILPS_OSHA_01229,"An employee fell while installing safety clamps. During the fall, the employee's left pinky finger was caught and partially amputated between a safety clamp and a pipe.",
OILPS_OSHA_00637,"On or about 7/6/16, at 17:45 hours, an employee had been working outside at several oilfield locations in high heat conditions when he began feeling ill and collapsed. He was hospitalized for heat exhaustion.",
OILPS_OSHA_02385,"An employee was exiting a truck when he lost his footing while descending the cab stairs. He fell to the ground and injured his left elbow, requiring hospitalization.",Driving
OILPS_OSHA_03152,An employee was working on the rig floor when they began to experience dizziness and cramping in their legs and arms due to dehydration and heat stress. The employee was hospitalized.,
OILPS_OSHA_03753,"An employee was installing a safety cable on a flowline during a drilling operation. A forklift operator manipulated the boom to allow some slack in the strap to set the flowline box in the flowline trough. The employee had his hands on the strap to manipulate the box and set it down in the flowline trough. His left foot was forward while attempting to gain leverage when the flowline box shifted and struck his left foot and ankle area, resulting in a laceration to the top of his foot requiring hospitalization.",Energy Isolation; Safe Mechanical Lifting
OILPS_OSHA_00919,An employee was transferring product from a top tote tank to the bottom tote tank when the leg of the top tote tank shifted causing the top tote tank to pinch the employee's right thumb between the top tote tank and the bottom tote tank spark arrestor. The employee suffered a partial amputation to his right thumb.,Hot Work
OILPS_OSHA_01741,"An employee was standing on the ground observing pole line construction when he began showing signs of heat exhaustion, requiring hospitalization.",
OILPS_OSHA_01267,"Two employees were moving 40-foot long pipes (30 inches in diameter and weighing over 1,000 lbs.) on an elevated pipe rack into the pipe coating facility. While moving the last pipe, one employee's right hand was caught between a stationary pipe and the moving pipe, partially amputating his right ring fingertip and avulsing his right long fingernail with a nailbed laceration. He was hospitalized overnight.",
OILPS_OSHA_01341,"An employee was using an air hose to blow air through a waterline to a well when the hose came loose from the strap that secured it to the water pump. The end of the hose struck the employee's left shoulder area, fracturing his collarbone.",
OILPS_OSHA_03850,An employee was shocked while checking a breaker with a meter. The employee sustained a burn to their left middle finger.,Energy Isolation
OILPS_OSHA_01036,"On June 5, 2017, an employee was rebuilding a bench cylinder when pressure began building in the cylinder and released. The cylinder then struck the employee in the abdomen and pushed the employee into a locker. The employee suffered internal bleeding and crushing injuries, requiring hospitalization.",Energy Isolation
OILPS_OSHA_00058,"An employee welding a cable guide pipe to a tank containing road tar suffered burns to his right side legs, arm, neck, and face when the contents of the tank caught on fire.",Hot Work
OILPS_IOGP_HPE_0065,"The rig crew were in the process of nipple down the bell nipple mandrel. While positioning the multi purpose crane 
for installing the bell nipple lifting slings the man basket (354kg), which was holding 2 persons, dislodged from the 
main structure of the crane and fell approx.16.5m to the top deck of the platform. Neither of the 2 persons fell as 
they were suspended by their harness and inertia reels. Both personnel were recovered in 2 minutes. One of the 2 
personnel received first aid treatment for slight swelling.",
OILPS_OSHA_03950,"Employees were welding and sandblasting a heat treater. A flash fire occurred inside the tank, and an employee suffered burns to the face and a wrist.",Hot Work
OILPS_OSHA_01782,"While an employee was using a manual post driver, his left middle finger was trapped between the driver and a post. The fingertip was crushed; he was hospitalized, and the tip was medically amputated.",Driving
OILPS_IOGP_SPI_0079,Plant operator found 6” valve leaking causing 9.5 kcf natural gas release; area barricaded.,
OILPS_OSHA_00661,An employee was working in an oilfield cleaning a sand hopper. He got caught in a hydraulic gate fracturing both femurs.,Line of Fire
OILPS_IOGP_SPI_0173,"During normal operations, a failure occurred in the vent header drainage system, causing liquid carryover to the 
flare. No material damage or personal injuries were reported; only soil contamination was recorded in the area 
adjacent to the flare.",
OILPS_OSHA_03943,An employee was removing a clamp from the electrical submersible pump string of a laydown machine when their left index finger was caught between the clamp and the machine. The employee sustained a partial amputation between the first knuckle and the fingernail.,
OILPS_OSHA_03126,"An employee was tasked with offloading a marine vessel. He was resetting the loading arm back into place when his left hand was caught between the load arm head and a fixed dock component, amputating his index and middle fingertips.",
OILPS_OSHA_00388,"The employee was welding from a spider lift. While moving the spider lift from one location to another, the employee got his hand caught between the handrail and a steel plate resulting in the loss of the left ring fingertip (bone exposed).",Hot Work
OILPS_OSHA_02314,A truck driver along with another employee had just finished draining a tanker. They were unhooking the hose from the tanker when hot liquid asphalt struck the driver's arm causing severe burns. The driver was hospitalized.,Driving
OILPS_OSHA_00583,"Two employees were setting a steel beam that was attached to the choker of a crane. The crane operator picked up the beam and started cabling up. As the beam started rising, it became caught on part of the structure. The crane continued to pull up. The beam broke loose from the structure that it was caught on and swung free, striking the two employees. One of the employees was hospitalized with fractured ribs, pulmonary contusions, and a collapsed lung.",Safe Mechanical Lifting
OILPS_OSHA_01518,"An employee was standing on planking located on the top buck of a two-end frame, tubular-welded frame scaffold when one of the scaffold planks broke, causing the employee to fall 10 feet to the ground below. The employee suffered a fractured hip and two fractured ribs.",Safe Mechanical Lifting; Working at Height
OILPS_IOGP_SPI_0006,"During normal operations, an oil level regulation valve suddenly closed.
This event led to instabilities in both the production and produced water networks.
These instabilities led to a deterioration in the quality of the treated produced water, part of which is continuously 
discharged into the sea.
An oil sheen was observed at sea, with an estimated volume of approximately 2m³ of oil.",
OILPS_OSHA_00578,An employee was on the forks of a forklift installing anti-pigeon spikes on the ceiling when his finger was crushed between the forklift and a beam.,Safe Mechanical Lifting
OILPS_OSHA_01960,"Employees were attempting to lift and move a cellar cover in order to install a work platform in the cellar for a welder. The cover came into contact with the blowout preventer spool, causing it to fall back. An employee's right middle finger was caught between the cellar cover and the tin horn, causing an amputation to the first knuckle.",Energy Isolation
OILPS_IOGP_HPE_0086,"Contractor personnel were working on the installation of a 12-inch spool at ground level, while it was being held 
in a lifting operation. For causes yet to be determined, an actuated valve (SDV) located near the installation area - 
resting vertically on the ground and not involved in the lifting operation - lost its vertical stability and fell, resulting 
in a person being crushed between the valve and the skid structure.",
OILPS_OSHA_02170,"An employee was restarting a vapor combustion unit when a burner lit, causing a flash fire. The employee suffered second degree burns.",Hot Work
OILPS_IOGP_SPI_0091,2” valve left open released 2.29M lbs gas; operator closed valve; no waters affected.,
OILPS_OSHA_00346,"An employee was disassembling a one-tier tubular scaffold. The employee removed the cross bracing first. When a coworker removed the planks, the scaffold members came down and struck the employee, causing back and pelvis bruises.",Safe Mechanical Lifting; Working at Height
OILPS_OSHA_03594,"An employee was preparing a pump for maintenance. When the employee removed a cover, chemicals were released into the air. The employee was exposed to hydrogen sulfide and methyl mercaptan and was hospitalized.",Confined Space; Toxic Gas / Hazardous Substance
OILPS_OSHA_00418,"An employee was working on a crew, installing and pressure-testing PVC lines for a sewage line. The PVC pipe struck the employee's face, causing severe damage.",Energy Isolation
OILPS_IOGP_SPI_0078,"Glycol pump failure released 483 kcf gas over 3.75 hours; site shut down and isolated.
Safety performance indicators – Process safety events – 2025 data
55

===PAGE_56===",
OILPS_OSHA_02145,"An employee was working on the controller drive for the down hole equipment when he received an electrical shock, resulting in burns to the right thumb and left forearm and face.",
OILPS_OSHA_01557,"An employee had unstrapped some downhole tools that were brought to a wellsite. While another employee was going to get a forklift, the load shifted and smashed his finger between the load and the rub rail, resulting in a finger amputation.",Safe Mechanical Lifting
OILPS_OSHA_02896,An employee was replacing the valve on a frac pump. Fingers on his left hand were caught in the pump's moving pistons and injured; the middle finger required surgery.,Line of Fire
OILPS_OSHA_02939,"On November 16, 2021, a truck driver was removing straps from a load of utility poles on a flatbed trailer. When he removed the last strap, the top pole on the load rolled off and struck the left side of his body, crushing his left wrist and the lower part of his left leg. He was hospitalized, and the leg was medically amputated below the knee. He also suffered a brain injury and two fingers were medically amputated.",Driving
OILPS_IOGP_HPE_0045,"During maintenance activities, an electrical arc occurred in Switch Rack 6 LV, resulting in electrical burns to two 
electrical technicians. The injured personnel received immediate evacuation to the clinic for initial medical attention 
before being transferred to the Hospital for further treatment.",
OILPS_OSHA_03638,"An employee was attempting a lift with a crane and caught their left index finger between two shells (36-inch diameter cylinder vessels), resulting in amputation.",Safe Mechanical Lifting
OILPS_IOGP_FATAL_0019,"A steam release from an auxiliary steam line 14” occurred resulted in three (3) smoke detectors at the air intake 
activated that subsequently triggered the General Alarm. The Emergency Response Team was immediately 
mobilised to the scene. At the time of release members of the Engine Room immediately responded when radio 
calls were not answered.
Deceased Person (Maintenance Operator) was found unconscious near the Marine Gas Oil (MGO) tank and distilled 
water pump. The DP was brought to FPSO Hospital and was confirmed with ISOS Doctor as deceased.
Incident investigation is underway with the scheduled completion date in April 2026.",
OILPS_IOGP_HPE_0006,"At about 02:21hrs, while rig crew was picking 4” drill pipe, a single drill pipe was picked from Catwalk to the rig 
floor with Air winch tugger. The IP removed thread protector from the single pipe while another floorman attempted 
to guide the pipe into the mouse hole. The pipe missed the mouse hole, hit the rig floor and also hit the IP on his 
right ear and shoulder. IP was move to Clinic.",
OILPS_IOGP_SPI_0153,Two heaters caught fire and sustained damage.,
OILPS_IOGP_SPI_0053,"While completing a frac, fluid released from a valve and the cellar area.",
OILPS_OSHA_01218,"An employee was in a boat, inspecting a pipeline, when the boat hit something in the water and ejected the employee from the seat. The employee hit the boat floor and suffered a forehead laceration and fractured left wrist.",
OILPS_OSHA_03652,An employee was working to set a drive pin on an S-hook so a forklift could pick up a part and bring it to the paint department. The employee's left middle finger was pinched between the pin and the S-hook resulting in a partial amputation.,Safe Mechanical Lifting
OILPS_IOGP_SPI_0037,"During a scheduled GLSDV function test, the Well head maintenance team confirmed normal operating 
conditions before detecting a hissing sound at the riser line while leaving the platform. The leak was 
immediately reported, and a manual Emergency Shutdown (ESD) was initiated from the boat landing, 
followed by safe crew evacuation. A subsequent inspection with SCBA confirmed all wells and riser SDVs had 
tripped, and additional isolations were applied.",
OILPS_OSHA_00506,An employee received an injury to the right middle finger that required surgery and hospitalization. The employee's finger was caught between a pump plunger and the catwalk when the pump plunger fell to the catwalk.,
OILPS_OSHA_02304,"An employee was operating a hand grinder. When the employee stood up to respond to another employee, the cord/plug of the hand grinder struck him in the neck. The employee was hospitalized and received stitches in the neck area.",
OILPS_OSHA_02436,An employee was walking toward equipment when the employee tripped on a 2-inch pipe on the ground. The employee hit their nose and upper lip and suffered a dislocated shoulder.,
OILPS_IOGP_HPE_0076,"While releasing the tubing hanger, after a BOP test, unknown pressure had built up below the tubing hanger 
assembly causing it to lift up out of the BOP stack and fall to the ground.",
OILPS_OSHA_03120,"An employee was cleaning a derrick with a power washer. The employee slipped on a wet surface while untangling the power washer hose. As he reached out to catch himself, part of the derrick caught his right little finger and removed the flesh, exposing the bone.",Working at Height
OILPS_OSHA_02163,"An employee was at the side of a truck (a pulling unit) removing tools. As the pole on the unit was extended, the elevator came unclasped off the hook, fell, and struck the employee on the side of his head. He suffered a skull fracture.",Driving
OILPS_OSHA_00176,"An employee was attaching drill pipe to elevators using his hands. His fingers got stuck between the elevator and the drill pipe, which broke two fingers (pointer and middle finger of the right hand).",
OILPS_OSHA_02709,An employee was climbing a ladder with guard rails to access the rig floor. The ladder twisted to one side causing the employee to fall to the ground. The employee sustained displaced vertebrae in the neck and bruising and soreness.,Working at Height
OILPS_IOGP_SPI_0120,Oxidizer/acid job miscommunication led to overpressure event ejecting wellhead; procedural gaps documented.,
OILPS_OSHA_02806,"A crew had put their tools down after pressure-washing the outsides of two oil tanks. As they walked away, one of the tanks exploded. One of the employees suffered second- and third-degree burns on the back, from the waist up.",Energy Isolation
OILPS_OSHA_00076,"An employee of SM Fencing & Energy Services, Inc. lost his eye sight after receiving a head injury. The employee slipped on the ice at the project site while carrying a railroad tie. After the employee fell to the ground, the railroad tie fell on his head.",
OILPS_OSHA_04189,"An employee was refilling a bottle with a cleaning solution when bleach entered the bottle and it exploded. The employee inhaled the fumes and experienced difficulty breathing and burns to her throat, resulting in hospitalization.",
OILPS_OSHA_01278,"Two employees were removing ball valves. When the employees began to install the gaskets, a flash fire occurred. One employee suffered burns to the face.",Hot Work
OILPS_OSHA_03358,"Employees were pulling up piping on a workover rig. The anchor on the piping got caught on the slip, then the slip got caught on the work floor, pulling it up while the employee was standing on it. When the work floor broke away from the slip, the flooring fell back down to the ground. This caused the employee to fall and sustain a right leg fracture that required hospitalization.",
OILPS_IOGP_HPE_0072,"Crew was killing the well with Axis Reverse Unit when the Axis Pump Hand appears to have engaged valves in 
the incorrect order allowing pressure to exit well bore through a disconnected 2” hose at the rig floor. Pressure 
estimated to be 600 psi. Loose end of hose whipped and struck one individual on the top of their hard hat.
NORTH AMERICA ONSHORE
68
Safety performance indicators – 2025 data: High potential event reports
===PAGE_69===",
OILPS_OSHA_02916,"An employee was welding a tank battery in the field when the welding torch ignited flammable gasses, causing an explosion that resulted in second and third degree burns to both hands and their face.",Hot Work
