record_id,incident_group_id,incident_text,lsr_primary,lsr_secondary,lsr_labels,label_cardinality,label_count,source_documents,source_pages,source_record_ids,source_evidence,dataset_origin,lsr_label_provenance,reconstruction_method,group_status,created_at,is_synthetic,parent_record_id,parent_incident_group_id,generation_method,parent_source_document,parent_source_pages,parent_source_record_ids
INCIDENT-GOLD-0016,GRP-Safety performa-P115,"PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment DATE: 02 Feb 2024 FUNCTION: Production CAUSE: Caught in, under or between (excl. dropped objects) ACTIVITY: Maintenance, inspection, testing The employee reported to the infirmary along with his supervisor, informing that during the maintenance of the starting air compressor, he suffered an impact from the engine's propeller on the fourth digit of his left hand,",Line of Fire,[],"[""Line of Fire""]",SINGLE,1,"[""Safety performance indicators \u2013 2024 data.pdf""]",[115],"[""LSR-CAND-000239""]",PRIMARY LIFE-SAVING RULE:  Line of fire,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,VALIDATED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0017,GRP-Safety performa-P116,"PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PROCESS (CONDITIONS): Protective Systems: Inadequate/defective Personal Protective Equipment PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment DATE: 19 Apr 2024 FUNCTION: Production CAUSE: Dropped objects ACTIVITY: Lifting, crane, rigging, deck operations","[""Safe Mechanical Lifting"", ""Line of Fire""]",[],"[""Line of Fire"", ""Safe Mechanical Lifting""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf""]",[116],"[""LSR-CAND-000240"", ""LSR-CAND-000241""]",PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting | SECONARY LIFE-SAVING RULE:  Line of fire,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0019,GRP-Safety performa-P118,"DATE: 01 Mar 2024 COUNTRY: Trinidad and Tobago FUNCTION: Production CAUSE: Pressure release ACTIVITY: Maintenance, inspection, testing During a routine field visit, it was identified that a 2-inch pipe spool associated with the Low-Pressure Flare Header was installed, which sits outside the boundary isolation, as per approved isolation plan. The spool piece in question appears to have been installed during the removal and replacement of piping scope of work on the glycol","[""Work Authorization"", ""Energy Isolation""]",[],"[""Energy Isolation"", ""Work Authorization""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf""]",[118],"[""LSR-CAND-000244"", ""LSR-CAND-000245""]",PRIMARY LIFE-SAVING RULE:  Work authorization | SECONARY LIFE-SAVING RULE:  Energy isolation,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0020,GRP-Safety performa-P12,"3. During test digging, the excavator bucket contacted a buried 11 kVA composite electrical cable, causing a dent 4. Excavator use in close proximity to unidentified/poorly defined underground assets introduced a line-strike CORRECTIVE ACTIONS AND RECOMMENDATIONS: 1. Mechanical excavation (excavators) must not be used near unknown or insufficiently verified buried utilities. 2. Probing results identifying multiple underground facilities must trigger manual excavation only. 3. As-built drawings must be accurate, up-to-date, and detailed, especially regarding depth and horizontal spacing. 4. When indications are unclear, stop work and escalate for engineering verification. PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)","[""Line of Fire"", ""Safe Mechanical Lifting""]",[],"[""Line of Fire"", ""Safe Mechanical Lifting""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[12],"[""LSR-CAND-000016"", ""LSR-CAND-000261"", ""LSR-CAND-000262""]",PRIMARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting | SECONARY LIFE-SAVING RULE:  Line of fire,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0021,GRP-Safety performa-P13,"DATE: 16 Apr 2024 FUNCTION: Production CAUSE: Dropped objects ACTIVITY: Maintenance, inspection, testing An anomaly was observed during routine plant inspections. A large flat metal sheet was found resting on the forward refuge roof. Subsequent investigation revealed that this section was a cable tray cover dislodged from the pipe rack above the forward machinery, with a drop trajectory indicating its passage across a walkway. The cover weighed approximately 20kg, and its landing point on the forward refuge area roof was 13.356m from the pipe rack","[""Line of Fire"", ""Work Authorization""]",[],"[""Line of Fire"", ""Work Authorization""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[13],"[""LSR-CAND-000017"", ""LSR-CAND-000018"", ""LSR-CAND-000263"", ""LSR-CAND-000264""]",PRIMARY LIFE-SAVING RULE:  Line of fire | SECONARY LIFE-SAVING RULE:  Work authorization,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0022,GRP-Safety performa-P14,"the old one which had a dislodged tulip in 2017. Original equipment manufacturer (OEM) did not advise on the potential for chattering as well as its impact on the HP flare tip’s structural integrity even though it was clear that this had been experienced on similar models. If this had been communicated at the onset, then the no flare chattering ranges would have been instituted to mitigate plate failure. CORRECTIVE ACTIONS AND RECOMMENDATIONS: Review available flare tip remediation options and decide on the replacement plan. PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management","[""Bypassing Safety Controls"", ""Line of Fire"", ""Safe Mechanical Lifting""]",[],"[""Bypassing Safety Controls"", ""Line of Fire"", ""Safe Mechanical Lifting""]",MULTI,3,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[14],"[""LSR-CAND-000019"", ""LSR-CAND-000265"", ""LSR-CAND-000266""]",PRIMARY LIFE-SAVING RULE:  Bypassing safety controls | PRIMARY LIFE-SAVING RULE:  Line of fire | SECONARY LIFE-SAVING RULE:  Safe mechanical lifting,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0023,GRP-Safety performa-P15,"DATE: 02 Dec 2025 FUNCTION: Production CAUSE: Struck by (not dropped object) ACTIVITY: Lifting, crane, rigging, deck operations While parking the starboard (STBD) crane following routine lifting operations, the crane boom was brought down into the boom rest abruptly rather than in a controlled manner. This sudden placement generated an unexpected impact load on the crane structure, producing a loud bang that was heard in the vicinity of the crane pedestal and surrounding areas.","[""Working at Height"", ""Line of Fire"", ""Safe Mechanical Lifting""]",[],"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height""]",MULTI,3,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[15],"[""LSR-CAND-000020"", ""LSR-CAND-000021"", ""LSR-CAND-000267"", ""LSR-CAND-000268""]",PRIMARY LIFE-SAVING RULE:  Working at height | SECONARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Line of fire | SECONARY LIFE-SAVING RULE:  Safe mechanical lifting,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0024,GRP-Safety performa-P16,"DATE: 18 Mar 2025 COUNTRY: Mauritania FUNCTION: Production CAUSE: Pressure release ACTIVITY: Maintenance, inspection, testing Contractor carrying out repairs on the Scale Inhibitor Injection system, the system was understood to have been depressurised. As the contractor started to release an end cap, the cap was projected downwards under pressure. The cap went directly downwards into a section of plant close to a walkway. This could have had potential to impact","[""Energy Isolation"", ""Work Authorization"", ""Working at Height"", ""Line of Fire""]",[],"[""Line of Fire"", ""Energy Isolation"", ""Working at Height"", ""Work Authorization""]",MULTI,4,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[16],"[""LSR-CAND-000022"", ""LSR-CAND-000023"", ""LSR-CAND-000024"", ""LSR-CAND-000269"", ""LSR-CAND-000270""]",PRIMARY LIFE-SAVING RULE:  Energy isolation | SECONARY LIFE-SAVING RULE:  Work authorization | PRIMARY LIFE-SAVING RULE:  Working at height | SECONARY LIFE-SAVING RULE:  Line of fire,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0025,GRP-Safety performa-P17,"DATE: 18 Nov 2025 COUNTRY: Namibia FUNCTION: Drilling CAUSE: Dropped objects ACTIVITY: Lifting, crane, rigging, deck operations Flex Joint strikes handrail creating 2 Dropped Objects. During the removal of the Flex Joint from the Riser Feeding Machine (RFM) using the starboard crane, the aft sling of the Flex Joint became hung up on the RFM bucket. As the lift continued, the sling suddenly released, causing the Flex Joint to swing unexpectedly.","[""Energy Isolation"", ""Line of Fire"", ""Safe Mechanical Lifting""]",[],"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting""]",MULTI,3,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[17],"[""LSR-CAND-000025"", ""LSR-CAND-000026"", ""LSR-CAND-000027"", ""LSR-CAND-000028"", ""LSR-CAND-000271"", ""LSR-CAND-000272""]",PRIMARY LIFE-SAVING RULE:  Energy isolation | SECONARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0027,GRP-Safety performa-P19,"DATE: 26 Aug 2024 COUNTRY: New Zealand FUNCTION: Production CAUSE: Caught in, under or between (excl. dropped objects) ACTIVITY: Drilling, workover, well operations IP had advised his colleague he was going to carry out continuity testing on the electric submersible pump (ESP) cable, which was on the hydraulically energised spooler. The spooler was not in use at this time. When carrying out the continuity testing, the conductor reading was low and the cable was cleaned with electrical","[""Energy Isolation"", ""Line of Fire"", ""Safe Mechanical Lifting""]",[],"[""Line of Fire"", ""Energy Isolation"", ""Safe Mechanical Lifting""]",MULTI,3,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[19],"[""LSR-CAND-000029"", ""LSR-CAND-000030"", ""LSR-CAND-000031"", ""LSR-CAND-000032"", ""LSR-CAND-000275"", ""LSR-CAND-000276""]",PRIMARY LIFE-SAVING RULE:  Energy isolation | SECONARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Line of fire | SECONARY LIFE-SAVING RULE:  Safe mechanical lifting | PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0031,GRP-Safety performa-P23,"ASIA/AUSTRALASIA ONSHORE CORRECTIVE ACTIONS AND RECOMMENDATIONS: • Ensure positive isolation of process equipment/lines prior to conducting hot work. • Ensure adequate procedures for hot work (job method statements with sufficient level of detail; adequate decontamination procedures, adequate safe isolation procedures). • Ensure contractor alignment on high-risk activities as part of PTW process. PROCESS (CONDITIONS): Work Place Hazards: Hazardous atmosphere (explosive/toxic/asphyxiant) PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures","[""Working at Height"", ""Line of Fire"", ""Safe Mechanical Lifting""]",[],"[""Line of Fire"", ""Safe Mechanical Lifting"", ""Working at Height""]",MULTI,3,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[23],"[""LSR-CAND-000038"", ""LSR-CAND-000039"", ""LSR-CAND-000287"", ""LSR-CAND-000288""]",PRIMARY LIFE-SAVING RULE:  Working at height | SECONARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0033,GRP-Safety performa-P25,"DATE: 17 Jun 2024 COUNTRY: Indonesia FUNCTION: Production CAUSE: Pressure release ACTIVITY: Production operations While conducting routine patrol, production operator noticed hissing sound around production cooler on main deck. He then reported to central control room (CCR) operator via radio. Production operator and instrument technician proceed to main deck and confirmed gas leak was coming from 8” elbow outlet production cooler bay. Offshore","[""Line of Fire"", ""Working at Height"", ""Energy Isolation""]",[],"[""Line of Fire"", ""Energy Isolation"", ""Working at Height""]",MULTI,3,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[25],"[""LSR-CAND-000043"", ""LSR-CAND-000291"", ""LSR-CAND-000292"", ""LSR-CAND-000293"", ""LSR-CAND-000294""]",PRIMARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Working at height | SECONARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Energy isolation,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0034,GRP-Safety performa-P26,"WHAT WENT WRONG: Due to current and swell directions, the messenger rope got entangled with the vessel’s tire fenders. As the vessel was clearing the area, the crew was instructed to clear the deck. A crew member (IP), looking for shelter, went under the crash rail, misjudging it as a safe place. The IP noticed tension in the hawser assembly and looked over the bulwark to investigate and at that moment the messenger rope lashed down on the back of the IP’s helmet which caused him to fall forward and hit his face against the vessel’s bulwark. CORRECTIVE ACTIONS AND RECOMMENDATIONS: • Ensure job safety analysis (JSA) for this activity is revised to incorporate safe haven risk of entanglement.","[""Safe Mechanical Lifting"", ""Line of Fire"", ""Bypassing Safety Controls""]",[],"[""Bypassing Safety Controls"", ""Line of Fire"", ""Safe Mechanical Lifting""]",MULTI,3,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[26],"[""LSR-CAND-000044"", ""LSR-CAND-000045"", ""LSR-CAND-000295"", ""LSR-CAND-000296""]",PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting | SECONARY LIFE-SAVING RULE:  Line of fire | PRIMARY LIFE-SAVING RULE:  Line of fire | SECONARY LIFE-SAVING RULE:  Bypassing safety controls,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0035,GRP-Safety performa-P27,"• Ambiguous lift plan, due to different sections with conflicting descriptions. • Inadequate equipment knowledge: any equipment that is not industry norm should be considered non-standard and should not expect crew and rigging inspectors to have in-depth knowledge of the equipment. Non-standard equipment should be specified in the scope along with original equipment manufacturer (OEM) instructions. • Inadequacy in terms of having a mature culture of intervention and supervision within the site. CORRECTIVE ACTIONS AND RECOMMENDATIONS: • Lessons learned from incidents should be communicated properly. A register of these should be available for • Any equipment that is not industry norm should be considered non-standard and should not expect crew and","[""Line of Fire"", ""Safe Mechanical Lifting""]",[],"[""Line of Fire"", ""Safe Mechanical Lifting""]",MULTI,2,"[""Safety performance indicators \u2013 2024 data.pdf"", ""Safety performance indicators \u2013 2025 data.pdf""]",[27],"[""LSR-CAND-000046"", ""LSR-CAND-000297"", ""LSR-CAND-000298""]",PRIMARY LIFE-SAVING RULE:  Line of fire | SECONARY LIFE-SAVING RULE:  Safe mechanical lifting,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
INCIDENT-GOLD-0037,GRP-Safety performa-P29,PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate supervision DATE: 24 Apr 2025 FUNCTION: Construction CAUSE: Falls from height,"[""Working at Height"", ""Line of Fire""]",[],"[""Line of Fire"", ""Working at Height""]",MULTI,2,"[""Safety performance indicators \u2013 2025 data.pdf""]",[29],"[""LSR-CAND-000301"", ""LSR-CAND-000302""]",PRIMARY LIFE-SAVING RULE:  Working at height | SECONARY LIFE-SAVING RULE:  Line of fire,IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,REVIEW_REQUIRED,2026-09-03T06:19:44Z,False,,,,,,
