record_id,incident_group_id,incident_text,source_evidence_text,source_document,source_page,source_record_id,lsr_primary,lsr_secondary,lsr_labels,dataset_origin,lsr_label_provenance,reconstruction_method,reconstruction_status,created_at
RECON-LSR-0011,GRP-Safety performa-P9,"DATE: 29 Jun 2024 FUNCTION: Production CAUSE: Explosion, fire or burns ACTIVITY: Maintenance, inspection, testing An employee burned his right leg, in the region of the knee, due to hot water projection. At around 11:45 am, during the operation to replace the motorized valve in the hydro cyclone unit, hot water at a temperature of 95ºC and a pressure of 5bar, coming from the same line, hit the employee in the region of his right knee, causing him a first- WHAT WENT WRONG:",PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting,Safety performance indicators – 2024 data.pdf,9,LSR-CAND-000011,Safe Mechanical Lifting,UNKNOWN,"[""Safe Mechanical Lifting""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:10Z
RECON-LSR-0012,GRP-Safety performa-P9,"DATE: 29 Jun 2024 FUNCTION: Production CAUSE: Explosion, fire or burns ACTIVITY: Maintenance, inspection, testing An employee burned his right leg, in the region of the knee, due to hot water projection. At around 11:45 am, during the operation to replace the motorized valve in the hydro cyclone unit, hot water at a temperature of 95ºC and a pressure of 5bar, coming from the same line, hit the employee in the region of his right knee, causing him a first- WHAT WENT WRONG:",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,9,LSR-CAND-000012,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:10Z
RECON-LSR-0013,GRP-Safety performa-P10,"and the motor was found to have high case drain leakage of hydraulic oil, possibly due to scoring that was observed on the hydraulic motor port plate. It is likely these two factors combined resulted in the load dropping. CORRECTIVE ACTIONS AND RECOMMENDATIONS: With a new motor, new CBV fitted, new brake installed, the fault could not be recreated. New hydraulic oil was cleaned and installed into the crane. A full set of assurance checks carried out including a proof load test. The following are longer term recommendations. • Install pressure compensation sandwich valves under each direction control valve, to prevent the increase in flow and in turn increase in pressure in the auxiliary and slew circuits being shared between the operating functions",PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting,Safety performance indicators – 2024 data.pdf,10,LSR-CAND-000013,Safe Mechanical Lifting,UNKNOWN,"[""Safe Mechanical Lifting""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:11Z
RECON-LSR-0014,GRP-Safety performa-P10,"and the motor was found to have high case drain leakage of hydraulic oil, possibly due to scoring that was observed on the hydraulic motor port plate. It is likely these two factors combined resulted in the load dropping. CORRECTIVE ACTIONS AND RECOMMENDATIONS: With a new motor, new CBV fitted, new brake installed, the fault could not be recreated. New hydraulic oil was cleaned and installed into the crane. A full set of assurance checks carried out including a proof load test. The following are longer term recommendations. • Install pressure compensation sandwich valves under each direction control valve, to prevent the increase in flow and in turn increase in pressure in the auxiliary and slew circuits being shared between the operating functions",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,10,LSR-CAND-000014,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:11Z
RECON-LSR-0015,GRP-Safety performa-P11,"CORRECTIVE ACTIONS AND RECOMMENDATIONS: Some of the actions recommended are: • Update vendor training requirement in the contracts, which should include wire rope training for persons involved in crane inspections on the FPSO. • Review and update crane maintenance strategy to include auxiliary rope boom rest protection, frequency of rope change-out, suitable rope and sheath gauge to be used as a tool for measuring rope wear, etc. • Install adequate auxiliary rope boom rest protection. PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire)",PRIMARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,11,LSR-CAND-000015,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:11Z
RECON-LSR-0016,GRP-Safety performa-P12,"PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products DATE: 27 Jul 2024 FUNCTION: Production CAUSE: Dropped objects ACTIVITY: Maintenance, inspection, testing During routine personnel rounds, a metal component of the Gas Turbine Generator (GTG) exhaust diffuser was found",PRIMARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,12,LSR-CAND-000016,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:11Z
RECON-LSR-0017,GRP-Safety performa-P13,"DATE: 16 Apr 2024 FUNCTION: Production CAUSE: Dropped objects ACTIVITY: Maintenance, inspection, testing An anomaly was observed during routine plant inspections. A large flat metal sheet was found resting on the forward refuge roof. Subsequent investigation revealed that this section was a cable tray cover dislodged from the pipe rack above the forward machinery, with a drop trajectory indicating its passage across a walkway. The cover weighed approximately 20kg, and its landing point on the forward refuge area roof was 13.356m from the pipe rack",PRIMARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,13,LSR-CAND-000017,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:11Z
RECON-LSR-0018,GRP-Safety performa-P13,"DATE: 16 Apr 2024 FUNCTION: Production CAUSE: Dropped objects ACTIVITY: Maintenance, inspection, testing An anomaly was observed during routine plant inspections. A large flat metal sheet was found resting on the forward refuge roof. Subsequent investigation revealed that this section was a cable tray cover dislodged from the pipe rack above the forward machinery, with a drop trajectory indicating its passage across a walkway. The cover weighed approximately 20kg, and its landing point on the forward refuge area roof was 13.356m from the pipe rack",PRIMARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,13,LSR-CAND-000018,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:12Z
RECON-LSR-0019,GRP-Safety performa-P14,"the old one which had a dislodged tulip in 2017. Original equipment manufacturer (OEM) did not advise on the potential for chattering as well as its impact on the HP flare tip’s structural integrity even though it was clear that this had been experienced on similar models. If this had been communicated at the onset, then the no flare chattering ranges would have been instituted to mitigate plate failure. CORRECTIVE ACTIONS AND RECOMMENDATIONS: Review available flare tip remediation options and decide on the replacement plan. PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management",PRIMARY LIFE-SAVING RULE:  Bypassing safety controls,Safety performance indicators – 2024 data.pdf,14,LSR-CAND-000019,Bypassing Safety Controls,UNKNOWN,"[""Bypassing Safety Controls""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:12Z
RECON-LSR-0020,GRP-Safety performa-P15,"ASIA/AUSTRALASIA ONSHORE DATE: 04 Oct 2024 COUNTRY: Australia FUNCTION: Production CAUSE: Dropped objects ACTIVITY: Lifting, crane, rigging, deck operations During insulation activities on Heat Exchanger. A plastic bag with rock wool dropped approx. 8 meters with a load weight of approx. 16kg.",PRIMARY LIFE-SAVING RULE:  Working at height,Safety performance indicators – 2024 data.pdf,15,LSR-CAND-000020,Working at Height,UNKNOWN,"[""Working at Height""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:12Z
RECON-LSR-0021,GRP-Safety performa-P15,"ASIA/AUSTRALASIA ONSHORE DATE: 04 Oct 2024 COUNTRY: Australia FUNCTION: Production CAUSE: Dropped objects ACTIVITY: Lifting, crane, rigging, deck operations During insulation activities on Heat Exchanger. A plastic bag with rock wool dropped approx. 8 meters with a load weight of approx. 16kg.",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,15,LSR-CAND-000021,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:12Z
RECON-LSR-0022,GRP-Safety performa-P16,"DATE: 15 Jun 2024 FUNCTION: Construction CAUSE: Pressure release ACTIVITY: Excavation, trenching, ground disturbance Gas pipe being damaged by excavator while construction project was undergoing. Luckily, workers observed immediately and fixed it soon. No worse result happened. WHAT WENT WRONG: JSA was lack of deep thinking.",PRIMARY LIFE-SAVING RULE:  Energy isolation,Safety performance indicators – 2024 data.pdf,16,LSR-CAND-000022,Energy Isolation,UNKNOWN,"[""Energy Isolation""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:12Z
RECON-LSR-0023,GRP-Safety performa-P16,"DATE: 15 Jun 2024 FUNCTION: Construction CAUSE: Pressure release ACTIVITY: Excavation, trenching, ground disturbance Gas pipe being damaged by excavator while construction project was undergoing. Luckily, workers observed immediately and fixed it soon. No worse result happened. WHAT WENT WRONG: JSA was lack of deep thinking.",SECONARY LIFE-SAVING RULE:  Work authorization,Safety performance indicators – 2024 data.pdf,16,LSR-CAND-000023,Work Authorization,UNKNOWN,"[""Work Authorization""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:12Z
RECON-LSR-0024,GRP-Safety performa-P16,"DATE: 15 Jun 2024 FUNCTION: Construction CAUSE: Pressure release ACTIVITY: Excavation, trenching, ground disturbance Gas pipe being damaged by excavator while construction project was undergoing. Luckily, workers observed immediately and fixed it soon. No worse result happened. WHAT WENT WRONG: JSA was lack of deep thinking.",PRIMARY LIFE-SAVING RULE:  Working at height,Safety performance indicators – 2024 data.pdf,16,LSR-CAND-000024,Working at Height,UNKNOWN,"[""Working at Height""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:13Z
RECON-LSR-0025,GRP-Safety performa-P17,"DATE: 25 Apr 2024 COUNTRY: Indonesia FUNCTION: Production CAUSE: Explosion, fire or burns ACTIVITY: Maintenance, inspection, testing Flash Fire in Maintenance of Ignition Flare Line at SPU-A Jatibarang Field WHAT WENT WRONG: • There was no positive isolation for fuel line when maintenance took place.",PRIMARY LIFE-SAVING RULE:  Energy isolation,Safety performance indicators – 2024 data.pdf,17,LSR-CAND-000025,Energy Isolation,UNKNOWN,"[""Energy Isolation""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:13Z
RECON-LSR-0026,GRP-Safety performa-P17,"DATE: 25 Apr 2024 COUNTRY: Indonesia FUNCTION: Production CAUSE: Explosion, fire or burns ACTIVITY: Maintenance, inspection, testing Flash Fire in Maintenance of Ignition Flare Line at SPU-A Jatibarang Field WHAT WENT WRONG: • There was no positive isolation for fuel line when maintenance took place.",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,17,LSR-CAND-000026,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:13Z
RECON-LSR-0027,GRP-Safety performa-P17,"DATE: 25 Apr 2024 COUNTRY: Indonesia FUNCTION: Production CAUSE: Explosion, fire or burns ACTIVITY: Maintenance, inspection, testing Flash Fire in Maintenance of Ignition Flare Line at SPU-A Jatibarang Field WHAT WENT WRONG: • There was no positive isolation for fuel line when maintenance took place.",PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting,Safety performance indicators – 2024 data.pdf,17,LSR-CAND-000027,Safe Mechanical Lifting,UNKNOWN,"[""Safe Mechanical Lifting""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:13Z
RECON-LSR-0028,GRP-Safety performa-P17,"DATE: 25 Apr 2024 COUNTRY: Indonesia FUNCTION: Production CAUSE: Explosion, fire or burns ACTIVITY: Maintenance, inspection, testing Flash Fire in Maintenance of Ignition Flare Line at SPU-A Jatibarang Field WHAT WENT WRONG: • There was no positive isolation for fuel line when maintenance took place.",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,17,LSR-CAND-000028,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:13Z
RECON-LSR-0029,GRP-Safety performa-P19,"DATE: 26 Aug 2024 COUNTRY: New Zealand FUNCTION: Production CAUSE: Caught in, under or between (excl. dropped objects) ACTIVITY: Drilling, workover, well operations IP had advised his colleague he was going to carry out continuity testing on the electric submersible pump (ESP) cable, which was on the hydraulically energised spooler. The spooler was not in use at this time. When carrying out the continuity testing, the conductor reading was low and the cable was cleaned with electrical",PRIMARY LIFE-SAVING RULE:  Energy isolation,Safety performance indicators – 2024 data.pdf,19,LSR-CAND-000029,Energy Isolation,UNKNOWN,"[""Energy Isolation""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:14Z
RECON-LSR-0030,GRP-Safety performa-P19,"DATE: 26 Aug 2024 COUNTRY: New Zealand FUNCTION: Production CAUSE: Caught in, under or between (excl. dropped objects) ACTIVITY: Drilling, workover, well operations IP had advised his colleague he was going to carry out continuity testing on the electric submersible pump (ESP) cable, which was on the hydraulically energised spooler. The spooler was not in use at this time. When carrying out the continuity testing, the conductor reading was low and the cable was cleaned with electrical",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,19,LSR-CAND-000030,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:14Z
RECON-LSR-0031,GRP-Safety performa-P19,"DATE: 26 Aug 2024 COUNTRY: New Zealand FUNCTION: Production CAUSE: Caught in, under or between (excl. dropped objects) ACTIVITY: Drilling, workover, well operations IP had advised his colleague he was going to carry out continuity testing on the electric submersible pump (ESP) cable, which was on the hydraulically energised spooler. The spooler was not in use at this time. When carrying out the continuity testing, the conductor reading was low and the cable was cleaned with electrical",PRIMARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,19,LSR-CAND-000031,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:14Z
RECON-LSR-0032,GRP-Safety performa-P19,"DATE: 26 Aug 2024 COUNTRY: New Zealand FUNCTION: Production CAUSE: Caught in, under or between (excl. dropped objects) ACTIVITY: Drilling, workover, well operations IP had advised his colleague he was going to carry out continuity testing on the electric submersible pump (ESP) cable, which was on the hydraulically energised spooler. The spooler was not in use at this time. When carrying out the continuity testing, the conductor reading was low and the cable was cleaned with electrical",SECONARY LIFE-SAVING RULE:  Safe mechanical lifting,Safety performance indicators – 2024 data.pdf,19,LSR-CAND-000032,Safe Mechanical Lifting,UNKNOWN,"[""Safe Mechanical Lifting""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:14Z
RECON-LSR-0033,GRP-Safety performa-P20,"WHAT WENT WRONG: Driller’s side tugger line eye thimble became caught on the top drive frame. With increased tension applied to the winch line, the thimble then dislodged from the top drive, transferring the stored energy to the bushing insert, resulting in the uncontrolled movement. CORRECTIVE ACTIONS AND RECOMMENDATIONS: •  Eliminate potential snag points from tugger rigging. • Replan task to remove personnel from red zone. Define trigger point for stuck bushings in job safety analysis (JSA).",PRIMARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,20,LSR-CAND-000033,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:14Z
RECON-LSR-0034,GRP-Safety performa-P21,"DATE: 17 Feb 2024 COUNTRY: Thailand FUNCTION: Construction CAUSE: Exposure electrical ACTIVITY: Excavation, trenching, ground disturbance High voltage underground cable was damaged from backhoe during excavation. WHAT WENT WRONG: Unclear excavation checklist – the requirement of attachment document for excavation work template was put",PRIMARY LIFE-SAVING RULE:  Work authorization,Safety performance indicators – 2024 data.pdf,21,LSR-CAND-000034,Work Authorization,UNKNOWN,"[""Work Authorization""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:15Z
RECON-LSR-0035,GRP-Safety performa-P21,"DATE: 17 Feb 2024 COUNTRY: Thailand FUNCTION: Construction CAUSE: Exposure electrical ACTIVITY: Excavation, trenching, ground disturbance High voltage underground cable was damaged from backhoe during excavation. WHAT WENT WRONG: Unclear excavation checklist – the requirement of attachment document for excavation work template was put",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,21,LSR-CAND-000035,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:15Z
RECON-LSR-0036,GRP-Safety performa-P21,"DATE: 17 Feb 2024 COUNTRY: Thailand FUNCTION: Construction CAUSE: Exposure electrical ACTIVITY: Excavation, trenching, ground disturbance High voltage underground cable was damaged from backhoe during excavation. WHAT WENT WRONG: Unclear excavation checklist – the requirement of attachment document for excavation work template was put",PRIMARY LIFE-SAVING RULE:  Safe mechanical lifting,Safety performance indicators – 2024 data.pdf,21,LSR-CAND-000036,Safe Mechanical Lifting,UNKNOWN,"[""Safe Mechanical Lifting""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:15Z
RECON-LSR-0037,GRP-Safety performa-P21,"DATE: 17 Feb 2024 COUNTRY: Thailand FUNCTION: Construction CAUSE: Exposure electrical ACTIVITY: Excavation, trenching, ground disturbance High voltage underground cable was damaged from backhoe during excavation. WHAT WENT WRONG: Unclear excavation checklist – the requirement of attachment document for excavation work template was put",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,21,LSR-CAND-000037,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:15Z
RECON-LSR-0038,GRP-Safety performa-P23,"ASIA/AUSTRALASIA OFFSHORE DATE: 07 Oct 2024 COUNTRY: Australia FUNCTION: Production CAUSE: Falls from height ACTIVITY: Maintenance, inspection, testing During Vertical Lay System (VLS) winch maintenance, the technician stepped backward into an open ladder hatch resulting in a grazed right shin. The VLS was not being used for the scope of work at the time of the event. The",PRIMARY LIFE-SAVING RULE:  Working at height,Safety performance indicators – 2024 data.pdf,23,LSR-CAND-000038,Working at Height,UNKNOWN,"[""Working at Height""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:15Z
RECON-LSR-0039,GRP-Safety performa-P23,"ASIA/AUSTRALASIA OFFSHORE DATE: 07 Oct 2024 COUNTRY: Australia FUNCTION: Production CAUSE: Falls from height ACTIVITY: Maintenance, inspection, testing During Vertical Lay System (VLS) winch maintenance, the technician stepped backward into an open ladder hatch resulting in a grazed right shin. The VLS was not being used for the scope of work at the time of the event. The",SECONARY LIFE-SAVING RULE:  Line of fire,Safety performance indicators – 2024 data.pdf,23,LSR-CAND-000039,Line of Fire,UNKNOWN,"[""Line of Fire""]",IOGP_STAGE37A1,SOURCE_GROUNDED,SOURCE_EXTRACTED,RECONSTRUCTED,2026-09-03T06:10:16Z
